subject,oddballtype,transition,direction,wordposition,CRP
4,amn,to,Backwards,5,NaN
5,amn,to,Backwards,5,NaN
6,amn,to,Backwards,5,NaN
7,amn,to,Backwards,5,NaN
9,amn,to,Backwards,5,0
10,amn,to,Backwards,5,0.5
11,amn,to,Backwards,5,NaN
12,amn,to,Backwards,5,0
14,amn,to,Backwards,5,0.5
15,amn,to,Backwards,5,0.5
16,amn,to,Backwards,5,1
17,amn,to,Backwards,5,NaN
18,amn,to,Backwards,5,0.5
19,amn,to,Backwards,5,0
20,amn,to,Backwards,5,NaN
21,amn,to,Backwards,5,0
22,amn,to,Backwards,5,1
23,amn,to,Backwards,5,0
24,amn,to,Backwards,5,NaN
25,amn,to,Backwards,5,NaN
26,amn,to,Backwards,5,0
27,amn,to,Backwards,5,NaN
28,amn,to,Backwards,5,1
29,amn,to,Backwards,5,0
30,amn,to,Backwards,5,0
31,amn,to,Backwards,5,0
32,amn,to,Backwards,5,0
33,amn,to,Backwards,5,NaN
34,amn,to,Backwards,5,1
35,amn,to,Backwards,5,0
36,amn,to,Backwards,5,NaN
37,amn,to,Backwards,5,0
38,amn,to,Backwards,5,NaN
39,amn,to,Backwards,5,0
40,amn,to,Backwards,5,NaN
41,amn,to,Backwards,5,NaN
42,amn,to,Backwards,5,0
43,amn,to,Backwards,5,NaN
44,amn,to,Backwards,5,NaN
45,amn,to,Backwards,5,NaN
46,amn,to,Backwards,5,NaN
47,amn,to,Backwards,5,0
48,amn,to,Backwards,5,0
49,amn,to,Backwards,5,1
50,amn,to,Backwards,5,NaN
51,amn,to,Backwards,5,0
52,amn,to,Backwards,5,NaN
53,amn,to,Backwards,5,NaN
54,amn,to,Backwards,5,0.5
55,amn,to,Backwards,5,NaN
56,amn,to,Backwards,5,0
57,amn,to,Backwards,5,1
58,amn,to,Backwards,5,NaN
59,amn,to,Backwards,5,1
60,amn,to,Backwards,5,NaN
61,amn,to,Backwards,5,NaN
62,amn,to,Backwards,5,0
63,amn,to,Backwards,5,NaN
64,amn,to,Backwards,5,NaN
65,amn,to,Backwards,5,NaN
66,amn,to,Backwards,5,NaN
67,amn,to,Backwards,5,0
68,amn,to,Backwards,5,0
69,amn,to,Backwards,5,NaN
70,amn,to,Backwards,5,NaN
71,amn,to,Backwards,5,0
73,amn,to,Backwards,5,0
74,amn,to,Backwards,5,NaN
75,amn,to,Backwards,5,NaN
4,amn,to,Backwards,4,0.666666666666667
