subject,oddballtype,transition,direction,wordposition,CRP
4,highrec,to,Backwards,5,NaN
5,highrec,to,Backwards,5,NaN
6,highrec,to,Backwards,5,1
7,highrec,to,Backwards,5,1
9,highrec,to,Backwards,5,0
10,highrec,to,Backwards,5,0.25
11,highrec,to,Backwards,5,0
12,highrec,to,Backwards,5,0
14,highrec,to,Backwards,5,1
15,highrec,to,Backwards,5,0.5
16,highrec,to,Backwards,5,0.5
17,highrec,to,Backwards,5,NaN
18,highrec,to,Backwards,5,0
19,highrec,to,Backwards,5,0.333333333333333
20,highrec,to,Backwards,5,NaN
21,highrec,to,Backwards,5,0.5
22,highrec,to,Backwards,5,0.666666666666667
23,highrec,to,Backwards,5,0.5
24,highrec,to,Backwards,5,NaN
25,highrec,to,Backwards,5,NaN
26,highrec,to,Backwards,5,0
27,highrec,to,Backwards,5,1
28,highrec,to,Backwards,5,NaN
29,highrec,to,Backwards,5,0.5
30,highrec,to,Backwards,5,1
31,highrec,to,Backwards,5,0.5
32,highrec,to,Backwards,5,0
33,highrec,to,Backwards,5,0
34,highrec,to,Backwards,5,0.5
35,highrec,to,Backwards,5,0
36,highrec,to,Backwards,5,NaN
37,highrec,to,Backwards,5,0
38,highrec,to,Backwards,5,NaN
39,highrec,to,Backwards,5,0
40,highrec,to,Backwards,5,NaN
41,highrec,to,Backwards,5,NaN
42,highrec,to,Backwards,5,0
43,highrec,to,Backwards,5,0
44,highrec,to,Backwards,5,NaN
45,highrec,to,Backwards,5,NaN
46,highrec,to,Backwards,5,0
47,highrec,to,Backwards,5,0
48,highrec,to,Backwards,5,0
49,highrec,to,Backwards,5,0.666666666666667
50,highrec,to,Backwards,5,NaN
51,highrec,to,Backwards,5,0
52,highrec,to,Backwards,5,0.5
53,highrec,to,Backwards,5,0
54,highrec,to,Backwards,5,0.5
55,highrec,to,Backwards,5,NaN
56,highrec,to,Backwards,5,0.5
57,highrec,to,Backwards,5,1
58,highrec,to,Backwards,5,NaN
59,highrec,to,Backwards,5,0
60,highrec,to,Backwards,5,0
61,highrec,to,Backwards,5,0.5
62,highrec,to,Backwards,5,NaN
63,highrec,to,Backwards,5,0.5
64,highrec,to,Backwards,5,NaN
65,highrec,to,Backwards,5,NaN
66,highrec,to,Backwards,5,0
67,highrec,to,Backwards,5,0
68,highrec,to,Backwards,5,1
69,highrec,to,Backwards,5,0
70,highrec,to,Backwards,5,NaN
71,highrec,to,Backwards,5,NaN
72,highrec,to,Backwards,5,0.5
73,highrec,to,Backwards,5,0
74,highrec,to,Backwards,5,NaN
75,highrec,to,Backwards,5,NaN
4,highrec,to,Backwards,4,0.25
5,highrec,to,Backwards,4,NaN
6,highrec,to,Backwards,4,0
7,highrec,to,Backwards,4,NaN
9,highrec,to,Backwards,4,0.333333333333333
10,highrec,to,Backwards,4,0
11,highrec,to,Backwards,4,0
12,highrec,to,Backwards,4,1
14,highrec,to,Backwards,4,0
15,highrec,to,Backwards,4,0
16,highrec,to,Backwards,4,NaN
17,highrec,to,Backwards,4,0
18,highrec,to,Backwards,4,0.5
19,highrec,to,Backwards,4,0
20,highrec,to,Backwards,4,1
21,highrec,to,Backwards,4,0
22,highrec,to,Backwards,4,0.5
23,highrec,to,Backwards,4,0
24,highrec,to,Backwards,4,0
25,highrec,to,Backwards,4,0
26,highrec,to,Backwards,4,0.5
27,highrec,to,Backwards,4,0
28,highrec,to,Backwards,4,NaN
29,highrec,to,Backwards,4,NaN
30,highrec,to,Backwards,4,NaN
31,highrec,to,Backwards,4,0.25
32,highrec,to,Backwards,4,1
33,highrec,to,Backwards,4,NaN
34,highrec,to,Backwards,4,0
35,highrec,to,Backwards,4,0
36,highrec,to,Backwards,4,NaN
37,highrec,to,Backwards,4,NaN
38,highrec,to,Backwards,4,1
39,highrec,to,Backwards,4,NaN
40,highrec,to,Backwards,4,NaN
41,highrec,to,Backwards,4,NaN
42,highrec,to,Backwards,4,0.5
43,highrec,to,Backwards,4,0
44,highrec,to,Backwards,4,NaN
45,highrec,to,Backwards,4,0.5
46,highrec,to,Backwards,4,0
47,highrec,to,Backwards,4,0
48,highrec,to,Backwards,4,NaN
49,highrec,to,Backwards,4,0
50,highrec,to,Backwards,4,NaN
51,highrec,to,Backwards,4,0.25
52,highrec,to,Backwards,4,0
53,highrec,to,Backwards,4,0
54,highrec,to,Backwards,4,0
55,highrec,to,Backwards,4,NaN
56,highrec,to,Backwards,4,0
57,highrec,to,Backwards,4,NaN
58,highrec,to,Backwards,4,NaN
59,highrec,to,Backwards,4,NaN
60,highrec,to,Backwards,4,1
61,highrec,to,Backwards,4,NaN
62,highrec,to,Backwards,4,NaN
63,highrec,to,Backwards,4,0
64,highrec,to,Backwards,4,0
65,highrec,to,Backwards,4,0.5
66,highrec,to,Backwards,4,0.5
67,highrec,to,Backwards,4,0.5
68,highrec,to,Backwards,4,0.5
69,highrec,to,Backwards,4,0
70,highrec,to,Backwards,4,0
71,highrec,to,Backwards,4,NaN
72,highrec,to,Backwards,4,0
73,highrec,to,Backwards,4,NaN
74,highrec,to,Backwards,4,NaN
75,highrec,to,Backwards,4,1
4,highrec,to,Backwards,3,0
5,highrec,to,Backwards,3,0
6,highrec,to,Backwards,3,NaN
7,highrec,to,Backwards,3,1
9,highrec,to,Backwards,3,0.4
10,highrec,to,Backwards,3,0.333333333333333
11,highrec,to,Backwards,3,0
12,highrec,to,Backwards,3,0.333333333333333
14,highrec,to,Backwards,3,1
15,highrec,to,Backwards,3,0
16,highrec,to,Backwards,3,NaN
17,highrec,to,Backwards,3,NaN
18,highrec,to,Backwards,3,0
19,highrec,to,Backwards,3,0.333333333333333
20,highrec,to,Backwards,3,NaN
21,highrec,to,Backwards,3,0
22,highrec,to,Backwards,3,0
23,highrec,to,Backwards,3,0
24,highrec,to,Backwards,3,NaN
25,highrec,to,Backwards,3,0
26,highrec,to,Backwards,3,1
27,highrec,to,Backwards,3,NaN
28,highrec,to,Backwards,3,NaN
29,highrec,to,Backwards,3,0
30,highrec,to,Backwards,3,NaN
31,highrec,to,Backwards,3,NaN
32,highrec,to,Backwards,3,0.5
33,highrec,to,Backwards,3,NaN
34,highrec,to,Backwards,3,NaN
35,highrec,to,Backwards,3,0.25
36,highrec,to,Backwards,3,NaN
37,highrec,to,Backwards,3,0
38,highrec,to,Backwards,3,1
39,highrec,to,Backwards,3,0
40,highrec,to,Backwards,3,NaN
41,highrec,to,Backwards,3,NaN
42,highrec,to,Backwards,3,NaN
43,highrec,to,Backwards,3,1
44,highrec,to,Backwards,3,NaN
45,highrec,to,Backwards,3,0.4
46,highrec,to,Backwards,3,0
47,highrec,to,Backwards,3,1
48,highrec,to,Backwards,3,NaN
49,highrec,to,Backwards,3,0.333333333333333
50,highrec,to,Backwards,3,0.333333333333333
51,highrec,to,Backwards,3,0.25
52,highrec,to,Backwards,3,0.333333333333333
53,highrec,to,Backwards,3,0
54,highrec,to,Backwards,3,0
55,highrec,to,Backwards,3,NaN
56,highrec,to,Backwards,3,0.5
57,highrec,to,Backwards,3,NaN
58,highrec,to,Backwards,3,NaN
59,highrec,to,Backwards,3,0
60,highrec,to,Backwards,3,0
61,highrec,to,Backwards,3,0
62,highrec,to,Backwards,3,NaN
63,highrec,to,Backwards,3,0
64,highrec,to,Backwards,3,1
65,highrec,to,Backwards,3,1
66,highrec,to,Backwards,3,0.333333333333333
67,highrec,to,Backwards,3,0
68,highrec,to,Backwards,3,0
69,highrec,to,Backwards,3,0.5
70,highrec,to,Backwards,3,NaN
71,highrec,to,Backwards,3,NaN
72,highrec,to,Backwards,3,0
73,highrec,to,Backwards,3,NaN
74,highrec,to,Backwards,3,0
75,highrec,to,Backwards,3,NaN
4,highrec,to,Backwards,2,0
5,highrec,to,Backwards,2,0
6,highrec,to,Backwards,2,NaN
7,highrec,to,Backwards,2,NaN
9,highrec,to,Backwards,2,0
10,highrec,to,Backwards,2,0.25
11,highrec,to,Backwards,2,0
12,highrec,to,Backwards,2,0.333333333333333
14,highrec,to,Backwards,2,1
15,highrec,to,Backwards,2,0
16,highrec,to,Backwards,2,1
17,highrec,to,Backwards,2,0
18,highrec,to,Backwards,2,0
19,highrec,to,Backwards,2,0
20,highrec,to,Backwards,2,0
21,highrec,to,Backwards,2,0
22,highrec,to,Backwards,2,0.25
23,highrec,to,Backwards,2,0.5
24,highrec,to,Backwards,2,0
25,highrec,to,Backwards,2,0
26,highrec,to,Backwards,2,0
27,highrec,to,Backwards,2,0.333333333333333
28,highrec,to,Backwards,2,0
29,highrec,to,Backwards,2,0.5
30,highrec,to,Backwards,2,0
31,highrec,to,Backwards,2,0
32,highrec,to,Backwards,2,NaN
33,highrec,to,Backwards,2,0.333333333333333
34,highrec,to,Backwards,2,0.75
35,highrec,to,Backwards,2,0.666666666666667
36,highrec,to,Backwards,2,1
37,highrec,to,Backwards,2,0.333333333333333
38,highrec,to,Backwards,2,0
39,highrec,to,Backwards,2,0
40,highrec,to,Backwards,2,1
41,highrec,to,Backwards,2,0
42,highrec,to,Backwards,2,0
43,highrec,to,Backwards,2,0.666666666666667
44,highrec,to,Backwards,2,0
45,highrec,to,Backwards,2,0.5
46,highrec,to,Backwards,2,NaN
47,highrec,to,Backwards,2,0
48,highrec,to,Backwards,2,0
49,highrec,to,Backwards,2,0.5
50,highrec,to,Backwards,2,0.333333333333333
51,highrec,to,Backwards,2,0.333333333333333
52,highrec,to,Backwards,2,NaN
53,highrec,to,Backwards,2,1
54,highrec,to,Backwards,2,0
55,highrec,to,Backwards,2,0
56,highrec,to,Backwards,2,0
57,highrec,to,Backwards,2,1
58,highrec,to,Backwards,2,1
59,highrec,to,Backwards,2,0
60,highrec,to,Backwards,2,0
61,highrec,to,Backwards,2,NaN
62,highrec,to,Backwards,2,NaN
63,highrec,to,Backwards,2,NaN
64,highrec,to,Backwards,2,0.5
65,highrec,to,Backwards,2,0
66,highrec,to,Backwards,2,0
67,highrec,to,Backwards,2,0.666666666666667
68,highrec,to,Backwards,2,0
69,highrec,to,Backwards,2,NaN
70,highrec,to,Backwards,2,0
71,highrec,to,Backwards,2,NaN
72,highrec,to,Backwards,2,NaN
73,highrec,to,Backwards,2,0.5
74,highrec,to,Backwards,2,NaN
75,highrec,to,Backwards,2,NaN
4,highrec,to,Backwards,1,1
5,highrec,to,Backwards,1,0
6,highrec,to,Backwards,1,0
7,highrec,to,Backwards,1,0
9,highrec,to,Backwards,1,0
10,highrec,to,Backwards,1,0.5
11,highrec,to,Backwards,1,0.5
12,highrec,to,Backwards,1,NaN
14,highrec,to,Backwards,1,0
15,highrec,to,Backwards,1,0
