subject,oddballtype,direction,wordposition,CRP
4,E,Backwards,5,0.0227272727272727
5,E,Backwards,5,0.0526315789473684
6,E,Backwards,5,0.09375
7,E,Backwards,5,0.204081632653061
9,E,Backwards,5,0.09375
10,E,Backwards,5,0.0869565217391304
11,E,Backwards,5,0.176470588235294
12,E,Backwards,5,0.0833333333333333
14,E,Backwards,5,0.145454545454545
15,E,Backwards,5,0.152542372881356
16,E,Backwards,5,0.153846153846154
17,E,Backwards,5,0.0980392156862745
18,E,Backwards,5,0.12280701754386
19,E,Backwards,5,0.025
20,E,Backwards,5,0.087719298245614
21,E,Backwards,5,0.0483870967741935
22,E,Backwards,5,0.1875
23,E,Backwards,5,0.137931034482759
24,E,Backwards,5,0.0689655172413793
25,E,Backwards,5,0.137254901960784
26,E,Backwards,5,0.0666666666666667
27,E,Backwards,5,0.125
28,E,Backwards,5,0.0491803278688525
29,E,Backwards,5,0.0847457627118644
30,E,Backwards,5,0.0833333333333333
31,E,Backwards,5,0.12962962962963
32,E,Backwards,5,0.12962962962963
33,E,Backwards,5,0.122448979591837
34,E,Backwards,5,0.144736842105263
35,E,Backwards,5,0.0833333333333333
36,E,Backwards,5,0.0961538461538462
37,E,Backwards,5,0.178571428571429
38,E,Backwards,5,0.12
39,E,Backwards,5,0.147540983606557
40,E,Backwards,5,0.115384615384615
41,E,Backwards,5,0.0555555555555556
42,E,Backwards,5,0.0857142857142857
43,E,Backwards,5,0.105263157894737
44,E,Backwards,5,0.172413793103448
45,E,Backwards,5,0.0555555555555556
46,E,Backwards,5,0.037037037037037
47,E,Backwards,5,0.1
48,E,Backwards,5,0.127659574468085
49,E,Backwards,5,0.145454545454545
50,E,Backwards,5,0.14
51,E,Backwards,5,0.109375
52,E,Backwards,5,0.0851063829787234
53,E,Backwards,5,0.0810810810810811
54,E,Backwards,5,0.0476190476190476
55,E,Backwards,5,0.161764705882353
56,E,Backwards,5,0.111111111111111
57,E,Backwards,5,0.125
58,E,Backwards,5,0.027027027027027
59,E,Backwards,5,0.0612244897959184
60,E,Backwards,5,0.0784313725490196
61,E,Backwards,5,0.0416666666666667
62,E,Backwards,5,0.16
63,E,Backwards,5,0.108695652173913
64,E,Backwards,5,0.0793650793650794
65,E,Backwards,5,0.108108108108108
66,E,Backwards,5,0.0416666666666667
67,E,Backwards,5,0.08
68,E,Backwards,5,0.111111111111111
69,E,Backwards,5,0.05
70,E,Backwards,5,0.0888888888888889
71,E,Backwards,5,0.128205128205128
72,E,Backwards,5,0.142857142857143
73,E,Backwards,5,0.0697674418604651
74,E,Backwards,5,0.05
75,E,Backwards,5,0.214285714285714
4,E,Backwards,4,0.0909090909090909
5,E,Backwards,4,0.0327868852459016
6,E,Backwards,4,0.0461538461538462
7,E,Backwards,4,0.161290322580645
9,E,Backwards,4,0.0806451612903226
10,E,Backwards,4,0.0379746835443038
11,E,Backwards,4,0.140350877192982
12,E,Backwards,4,0.08
14,E,Backwards,4,0.0967741935483871
15,E,Backwards,4,0.0967741935483871
16,E,Backwards,4,0.0714285714285714
17,E,Backwards,4,0.0178571428571429
18,E,Backwards,4,0.0677966101694915
19,E,Backwards,4,0.0454545454545455
20,E,Backwards,4,0.102941176470588
21,E,Backwards,4,0.101449275362319
22,E,Backwards,4,0.104477611940299
23,E,Backwards,4,0.129032258064516
24,E,Backwards,4,0.106060606060606
25,E,Backwards,4,0.15
26,E,Backwards,4,0.0540540540540541
27,E,Backwards,4,0.106060606060606
28,E,Backwards,4,0.0746268656716418
29,E,Backwards,4,0.0862068965517241
30,E,Backwards,4,0.185185185185185
31,E,Backwards,4,0.111111111111111
32,E,Backwards,4,0.0634920634920635
33,E,Backwards,4,0.0689655172413793
34,E,Backwards,4,0.111111111111111
35,E,Backwards,4,0.0847457627118644
36,E,Backwards,4,0.0793650793650794
37,E,Backwards,4,0.0810810810810811
38,E,Backwards,4,0.0833333333333333
39,E,Backwards,4,0.0298507462686567
40,E,Backwards,4,0.125
41,E,Backwards,4,0.0625
42,E,Backwards,4,0.0379746835443038
43,E,Backwards,4,0.1
44,E,Backwards,4,0.114285714285714
45,E,Backwards,4,0.0476190476190476
46,E,Backwards,4,0.101694915254237
47,E,Backwards,4,0.126984126984127
48,E,Backwards,4,0.137254901960784
49,E,Backwards,4,0.087719298245614
50,E,Backwards,4,0.158730158730159
51,E,Backwards,4,0.133333333333333
52,E,Backwards,4,0.142857142857143
53,E,Backwards,4,0.06
54,E,Backwards,4,0.0735294117647059
55,E,Backwards,4,0.0869565217391304
56,E,Backwards,4,0.132075471698113
57,E,Backwards,4,0.106382978723404
58,E,Backwards,4,0.0930232558139535
59,E,Backwards,4,0.0943396226415094
60,E,Backwards,4,0.0185185185185185
61,E,Backwards,4,0.0566037735849057
62,E,Backwards,4,0.129032258064516
63,E,Backwards,4,0.0980392156862745
64,E,Backwards,4,0.0694444444444444
65,E,Backwards,4,0.142857142857143
66,E,Backwards,4,0.0754716981132075
67,E,Backwards,4,0.09375
68,E,Backwards,4,0.0689655172413793
69,E,Backwards,4,0.116666666666667
70,E,Backwards,4,0.0740740740740741
71,E,Backwards,4,0.0975609756097561
72,E,Backwards,4,0.05
73,E,Backwards,4,0.0961538461538462
74,E,Backwards,4,0.037037037037037
75,E,Backwards,4,0.0930232558139535
4,E,Backwards,3,0.0545454545454545
5,E,Backwards,3,0.0555555555555556
6,E,Backwards,3,0.116883116883117
7,E,Backwards,3,0.0714285714285714
9,E,Backwards,3,0.159420289855072
10,E,Backwards,3,0.116883116883117
11,E,Backwards,3,0.0793650793650794
12,E,Backwards,3,0.12962962962963
14,E,Backwards,3,0.144927536231884
15,E,Backwards,3,0.0985915492957746
16,E,Backwards,3,0.0769230769230769
17,E,Backwards,3,0.0333333333333333
18,E,Backwards,3,0.102941176470588
19,E,Backwards,3,0.0909090909090909
20,E,Backwards,3,0.177215189873418
21,E,Backwards,3,0.0563380281690141
22,E,Backwards,3,0.0615384615384615
23,E,Backwards,3,0.135135135135135
24,E,Backwards,3,0.114285714285714
25,E,Backwards,3,0.09375
26,E,Backwards,3,0.195121951219512
27,E,Backwards,3,0.0649350649350649
28,E,Backwards,3,0.0845070422535211
29,E,Backwards,3,0.1
30,E,Backwards,3,0.0701754385964912
31,E,Backwards,3,0.0857142857142857
32,E,Backwards,3,0.115384615384615
33,E,Backwards,3,0.0634920634920635
34,E,Backwards,3,0.0789473684210526
35,E,Backwards,3,0.121212121212121
36,E,Backwards,3,0.111111111111111
37,E,Backwards,3,0.128571428571429
38,E,Backwards,3,0.0126582278481013
39,E,Backwards,3,0.0714285714285714
40,E,Backwards,3,0.186666666666667
41,E,Backwards,3,0.0909090909090909
42,E,Backwards,3,0.0864197530864197
43,E,Backwards,3,0.0909090909090909
44,E,Backwards,3,0.153846153846154
45,E,Backwards,3,0.0606060606060606
46,E,Backwards,3,0.0746268656716418
47,E,Backwards,3,0.125
48,E,Backwards,3,0.0923076923076923
49,E,Backwards,3,0.0821917808219178
50,E,Backwards,3,0.119402985074627
51,E,Backwards,3,0.136986301369863
52,E,Backwards,3,0.0983606557377049
53,E,Backwards,3,0.105263157894737
54,E,Backwards,3,0.0823529411764706
55,E,Backwards,3,0.0675675675675676
56,E,Backwards,3,0.0172413793103448
