subject,age,gender,word,list,oddtype,rating
1,24,M,violacion,1,emotional,7
1,24,M,norma,1,emotional,10
1,24,M,ley,1,emotional,10
1,24,M,legislacion,1,emotional,10
1,24,M,cumplimiento,1,emotional,9
1,24,M,regla,1,emotional,10
1,24,M,consenso,1,emotional,8
1,24,M,instrucci—n,1,emotional,7
1,24,M,contrato,1,emotional,6
1,24,M,permiso,1,emotional,10
1,24,M,resolucion,1,emotional,9
1,24,M,declaracion,1,emotional,7
1,24,M,pauta,1,emotional,8
1,24,M,decision,1,emotional,7
1,24,M,nazi,2,emotional,9
1,24,M,nacionalidad,2,emotional,8
1,24,M,cultura,2,emotional,9
1,24,M,visitante,2,emotional,8
1,24,M,natal,2,emotional,9
1,24,M,idioma,2,emotional,8
1,24,M,originario,2,emotional,9
1,24,M,extranjero,2,emotional,10
1,24,M,inmigracion,2,emotional,8
1,24,M,pasaporte,2,emotional,9
1,24,M,patriotismo,2,emotional,9
1,24,M,viaje,2,emotional,9
1,24,M,lugareno,2,emotional,9
1,24,M,visado,2,emotional,8
1,24,M,sufrimiento,3,emotional,0
1,24,M,sensibilidad,3,emotional,9
1,24,M,palma,3,emotional,8
1,24,M,terciopelo,3,emotional,9
1,24,M,vibracion,3,emotional,6
1,24,M,dedo,3,emotional,8
1,24,M,piel,3,emotional,8
1,24,M,cuerpo,3,emotional,7
1,24,M,nervio,3,emotional,7
1,24,M,sensacion,3,emotional,9
1,24,M,roce,3,emotional,9
1,24,M,superficie,3,emotional,9
1,24,M,contacto,3,emotional,10
1,24,M,textura,3,emotional,10
1,24,M,asesino,4,emotional,5
1,24,M,ocupacion,4,emotional,8
1,24,M,profesion,4,emotional,9
1,24,M,actor,4,emotional,8
1,24,M,quimico,4,emotional,9
1,24,M,vocacion,4,emotional,10
1,24,M,abogado,4,emotional,6
1,24,M,contable,4,emotional,7
1,24,M,banquero,4,emotional,7
1,24,M,empleo,4,emotional,10
1,24,M,aprendiz,4,emotional,8
1,24,M,ingeniero,4,emotional,10
1,24,M,trabajo,4,emotional,9
1,24,M,fisico,4,emotional,10
1,24,M,asfixia,5,emotional,9
1,24,M,oxigeno,5,emotional,9
1,24,M,respiracion,5,emotional,9
1,24,M,nariz,5,emotional,7
1,24,M,viento,5,emotional,8
1,24,M,inhalacion,5,emotional,9
1,24,M,pulmon,5,emotional,7
1,24,M,soplo,5,emotional,6
1,24,M,vapor,5,emotional,5
1,24,M,ventilacion,5,emotional,9
1,24,M,brisa,5,emotional,6
1,24,M,branquias,5,emotional,6
1,24,M,aire,5,emotional,8
1,24,M,boca,5,emotional,7
1,24,M,crimen,6,emotional,7
1,24,M,libro,6,emotional,9
1,24,M,editor,6,emotional,9
1,24,M,protagonista,6,emotional,9
1,24,M,historia,6,emotional,9
1,24,M,novela,6,emotional,9
1,24,M,capitulo,6,emotional,9
1,24,M,texto,6,emotional,8
1,24,M,biografia,6,emotional,6
1,24,M,continuacion,6,emotional,5
1,24,M,ficcion,6,emotional,8
1,24,M,cuento,6,emotional,7
1,24,M,trama,6,emotional,8
1,24,M,autor,6,emotional,9
1,24,M,cancer,7,emotional,0
1,24,M,dia,7,emotional,9
1,24,M,estrella,7,emotional,9
1,24,M,luz,7,emotional,9
1,24,M,energia,7,emotional,8
1,24,M,chispa,7,emotional,8
1,24,M,esplendor,7,emotional,9
1,24,M,reflectante,7,emotional,8
1,24,M,destello,7,emotional,9
1,24,M,eclipse,7,emotional,7
1,24,M,sol,7,emotional,10
1,24,M,solarium,7,emotional,7
1,24,M,luminoso,7,emotional,9
1,24,M,amanecer,7,emotional,9
1,24,M,masacre,8,emotional,2
1,24,M,gente,8,emotional,9
1,24,M,asamblea,8,emotional,9
1,24,M,grupo,8,emotional,8
1,24,M,congreso,8,emotional,7
1,24,M,dialogo,8,emotional,9
1,24,M,comunidad,8,emotional,9
1,24,M,concentracion,8,emotional,10
1,24,M,asociacion,8,emotional,10
1,24,M,congregacion,8,emotional,10
1,24,M,concurrencia,8,emotional,10
1,24,M,reunion,8,emotional,9
1,24,M,simposio,8,emotional,7
1,24,M,invitados,8,emotional,5
1,24,M,terrorista,9,emotional,10
1,24,M,publico,9,emotional,8
1,24,M,terminal,9,emotional,7
1,24,M,concierto,9,emotional,8
1,24,M,trafico,9,emotional,2
1,24,M,teatro,9,emotional,9
1,24,M,estadio,9,emotional,8
1,24,M,aeropuerto,9,emotional,9
1,24,M,estacion,9,emotional,9
1,24,M,metro,9,emotional,8
1,24,M,avion,9,emotional,9
1,24,M,encuentro,9,emotional,9
1,24,M,festival,9,emotional,9
1,24,M,pasajero,9,emotional,9
1,24,M,suicida,10,emotional,10
