subject,oddballtype,transition,direction,wordposition,CRP
4,E,to,Backwards,5,0
5,E,to,Backwards,5,0
6,E,to,Backwards,5,1
7,E,to,Backwards,5,1
9,E,to,Backwards,5,0.333333333333333
10,E,to,Backwards,5,0.25
11,E,to,Backwards,5,0
12,E,to,Backwards,5,0
14,E,to,Backwards,5,0.5
15,E,to,Backwards,5,0.5
16,E,to,Backwards,5,0.333333333333333
17,E,to,Backwards,5,0
18,E,to,Backwards,5,0.2
19,E,to,Backwards,5,0.25
20,E,to,Backwards,5,NaN
21,E,to,Backwards,5,0.25
22,E,to,Backwards,5,0.666666666666667
23,E,to,Backwards,5,0.5
24,E,to,Backwards,5,NaN
25,E,to,Backwards,5,NaN
26,E,to,Backwards,5,0
27,E,to,Backwards,5,0.5
28,E,to,Backwards,5,0.333333333333333
29,E,to,Backwards,5,0.666666666666667
30,E,to,Backwards,5,0.333333333333333
31,E,to,Backwards,5,0.25
32,E,to,Backwards,5,0
33,E,to,Backwards,5,0
34,E,to,Backwards,5,0.5
35,E,to,Backwards,5,0
36,E,to,Backwards,5,0.5
37,E,to,Backwards,5,0
38,E,to,Backwards,5,NaN
39,E,to,Backwards,5,0.25
40,E,to,Backwards,5,NaN
41,E,to,Backwards,5,NaN
42,E,to,Backwards,5,0
43,E,to,Backwards,5,0
44,E,to,Backwards,5,NaN
45,E,to,Backwards,5,NaN
46,E,to,Backwards,5,0
47,E,to,Backwards,5,0.25
48,E,to,Backwards,5,0
49,E,to,Backwards,5,0.666666666666667
50,E,to,Backwards,5,0
51,E,to,Backwards,5,0
52,E,to,Backwards,5,0.333333333333333
53,E,to,Backwards,5,0
54,E,to,Backwards,5,0.166666666666667
55,E,to,Backwards,5,NaN
56,E,to,Backwards,5,0.5
57,E,to,Backwards,5,1
58,E,to,Backwards,5,0
59,E,to,Backwards,5,0.5
60,E,to,Backwards,5,0
61,E,to,Backwards,5,0.333333333333333
62,E,to,Backwards,5,0
63,E,to,Backwards,5,0.5
64,E,to,Backwards,5,0
65,E,to,Backwards,5,NaN
66,E,to,Backwards,5,0
67,E,to,Backwards,5,0
68,E,to,Backwards,5,0.25
69,E,to,Backwards,5,0
70,E,to,Backwards,5,NaN
71,E,to,Backwards,5,0.666666666666667
72,E,to,Backwards,5,0.333333333333333
73,E,to,Backwards,5,0
74,E,to,Backwards,5,NaN
75,E,to,Backwards,5,1
4,E,to,Backwards,4,0.4
5,E,to,Backwards,4,NaN
6,E,to,Backwards,4,0
7,E,to,Backwards,4,0
9,E,to,Backwards,4,0.333333333333333
10,E,to,Backwards,4,0
11,E,to,Backwards,4,0
12,E,to,Backwards,4,0.666666666666667
14,E,to,Backwards,4,0
15,E,to,Backwards,4,0
16,E,to,Backwards,4,0
17,E,to,Backwards,4,0
18,E,to,Backwards,4,0.666666666666667
19,E,to,Backwards,4,0
20,E,to,Backwards,4,1
21,E,to,Backwards,4,0
22,E,to,Backwards,4,0.5
23,E,to,Backwards,4,0
24,E,to,Backwards,4,0
25,E,to,Backwards,4,0.666666666666667
26,E,to,Backwards,4,0.5
27,E,to,Backwards,4,0
28,E,to,Backwards,4,0.5
29,E,to,Backwards,4,0
30,E,to,Backwards,4,0
31,E,to,Backwards,4,0.2
32,E,to,Backwards,4,0.25
33,E,to,Backwards,4,NaN
34,E,to,Backwards,4,0.285714285714286
35,E,to,Backwards,4,0.142857142857143
36,E,to,Backwards,4,0
37,E,to,Backwards,4,0
38,E,to,Backwards,4,1
39,E,to,Backwards,4,1
40,E,to,Backwards,4,0.5
41,E,to,Backwards,4,0
42,E,to,Backwards,4,0.666666666666667
43,E,to,Backwards,4,0
44,E,to,Backwards,4,NaN
45,E,to,Backwards,4,0.5
46,E,to,Backwards,4,0
47,E,to,Backwards,4,0
48,E,to,Backwards,4,NaN
49,E,to,Backwards,4,0
50,E,to,Backwards,4,0
51,E,to,Backwards,4,0.333333333333333
52,E,to,Backwards,4,0
53,E,to,Backwards,4,0
54,E,to,Backwards,4,0.5
55,E,to,Backwards,4,NaN
56,E,to,Backwards,4,0
57,E,to,Backwards,4,NaN
58,E,to,Backwards,4,0
59,E,to,Backwards,4,NaN
60,E,to,Backwards,4,1
61,E,to,Backwards,4,NaN
62,E,to,Backwards,4,NaN
63,E,to,Backwards,4,0
64,E,to,Backwards,4,0.25
65,E,to,Backwards,4,0.666666666666667
66,E,to,Backwards,4,0.333333333333333
67,E,to,Backwards,4,0.25
68,E,to,Backwards,4,0.333333333333333
69,E,to,Backwards,4,0
70,E,to,Backwards,4,0
71,E,to,Backwards,4,1
72,E,to,Backwards,4,0
73,E,to,Backwards,4,NaN
74,E,to,Backwards,4,NaN
75,E,to,Backwards,4,0.666666666666667
4,E,to,Backwards,3,0
5,E,to,Backwards,3,0
6,E,to,Backwards,3,0.333333333333333
7,E,to,Backwards,3,0.666666666666667
9,E,to,Backwards,3,0.428571428571429
10,E,to,Backwards,3,0.4
11,E,to,Backwards,3,0
12,E,to,Backwards,3,0.25
14,E,to,Backwards,3,0.666666666666667
15,E,to,Backwards,3,0.666666666666667
16,E,to,Backwards,3,NaN
17,E,to,Backwards,3,NaN
18,E,to,Backwards,3,0
19,E,to,Backwards,3,0.25
20,E,to,Backwards,3,1
21,E,to,Backwards,3,0
22,E,to,Backwards,3,0
23,E,to,Backwards,3,0
24,E,to,Backwards,3,0
25,E,to,Backwards,3,0
26,E,to,Backwards,3,1
27,E,to,Backwards,3,0
28,E,to,Backwards,3,0
29,E,to,Backwards,3,0.333333333333333
30,E,to,Backwards,3,0.5
31,E,to,Backwards,3,0
32,E,to,Backwards,3,0.333333333333333
33,E,to,Backwards,3,NaN
34,E,to,Backwards,3,0
35,E,to,Backwards,3,0.166666666666667
36,E,to,Backwards,3,0
37,E,to,Backwards,3,0
38,E,to,Backwards,3,0.5
39,E,to,Backwards,3,0
40,E,to,Backwards,3,0.5
41,E,to,Backwards,3,0
42,E,to,Backwards,3,0
43,E,to,Backwards,3,0.5
44,E,to,Backwards,3,NaN
45,E,to,Backwards,3,0.333333333333333
46,E,to,Backwards,3,0
47,E,to,Backwards,3,1
48,E,to,Backwards,3,1
49,E,to,Backwards,3,0.2
50,E,to,Backwards,3,0.4
51,E,to,Backwards,3,0.4
52,E,to,Backwards,3,0.333333333333333
53,E,to,Backwards,3,0
54,E,to,Backwards,3,0
55,E,to,Backwards,3,NaN
56,E,to,Backwards,3,0.5
57,E,to,Backwards,3,0
58,E,to,Backwards,3,0
59,E,to,Backwards,3,0
60,E,to,Backwards,3,0.5
61,E,to,Backwards,3,0
62,E,to,Backwards,3,0
63,E,to,Backwards,3,0
64,E,to,Backwards,3,0.5
65,E,to,Backwards,3,0.666666666666667
66,E,to,Backwards,3,0.333333333333333
67,E,to,Backwards,3,0.4
68,E,to,Backwards,3,0
69,E,to,Backwards,3,0.5
70,E,to,Backwards,3,0
71,E,to,Backwards,3,NaN
72,E,to,Backwards,3,0.333333333333333
73,E,to,Backwards,3,0
74,E,to,Backwards,3,0
75,E,to,Backwards,3,0
4,E,to,Backwards,2,0
5,E,to,Backwards,2,0
6,E,to,Backwards,2,1
7,E,to,Backwards,2,1
9,E,to,Backwards,2,0.25
10,E,to,Backwards,2,0.2
11,E,to,Backwards,2,0
12,E,to,Backwards,2,0.4
14,E,to,Backwards,2,1
15,E,to,Backwards,2,0.2
16,E,to,Backwards,2,0.5
17,E,to,Backwards,2,0
18,E,to,Backwards,2,0.375
19,E,to,Backwards,2,0.5
20,E,to,Backwards,2,0
21,E,to,Backwards,2,0
22,E,to,Backwards,2,0.333333333333333
23,E,to,Backwards,2,0.5
24,E,to,Backwards,2,0
25,E,to,Backwards,2,0
26,E,to,Backwards,2,0
27,E,to,Backwards,2,0.428571428571429
28,E,to,Backwards,2,0
29,E,to,Backwards,2,0.333333333333333
30,E,to,Backwards,2,0.333333333333333
31,E,to,Backwards,2,0
32,E,to,Backwards,2,0.333333333333333
33,E,to,Backwards,2,0.333333333333333
34,E,to,Backwards,2,0.5
35,E,to,Backwards,2,0.5
36,E,to,Backwards,2,0.666666666666667
37,E,to,Backwards,2,0.2
38,E,to,Backwards,2,0.666666666666667
