subject,SOA,oddballtype,direction,wordposition,CRP
4,1,E,Backwards,5,0
5,1,E,Backwards,5,0
6,1,E,Backwards,5,0.0625
7,1,E,Backwards,5,0.0625
9,1,E,Backwards,5,0.0526315789473684
10,1,E,Backwards,5,0
11,1,E,Backwards,5,0.166666666666667
12,1,E,Backwards,5,0.142857142857143
14,1,E,Backwards,5,0.133333333333333
15,1,E,Backwards,5,0.0476190476190476
16,1,E,Backwards,5,0
17,1,E,Backwards,5,0
18,1,E,Backwards,5,0.0666666666666667
19,1,E,Backwards,5,0
20,1,E,Backwards,5,0.142857142857143
21,1,E,Backwards,5,0
22,1,E,Backwards,5,0.0555555555555556
23,1,E,Backwards,5,0
24,1,E,Backwards,5,0
25,1,E,Backwards,5,0.0769230769230769
26,1,E,Backwards,5,0
27,1,E,Backwards,5,0.0769230769230769
28,1,E,Backwards,5,0.0588235294117647
29,1,E,Backwards,5,0
30,1,E,Backwards,5,0
31,1,E,Backwards,5,0.277777777777778
32,1,E,Backwards,5,0
33,1,E,Backwards,5,0.0833333333333333
34,1,E,Backwards,5,0
35,1,E,Backwards,5,0
36,1,E,Backwards,5,0.0526315789473684
37,1,E,Backwards,5,0.0714285714285714
38,1,E,Backwards,5,0.0625
39,1,E,Backwards,5,0.111111111111111
40,1,E,Backwards,5,0.0588235294117647
41,1,E,Backwards,5,0.0666666666666667
42,1,E,Backwards,5,0.0476190476190476
43,1,E,Backwards,5,0
44,1,E,Backwards,5,0.166666666666667
45,1,E,Backwards,5,0
46,1,E,Backwards,5,0
47,1,E,Backwards,5,0
48,1,E,Backwards,5,0.1
49,1,E,Backwards,5,0.0625
50,1,E,Backwards,5,0.0769230769230769
51,1,E,Backwards,5,0
52,1,E,Backwards,5,0
53,1,E,Backwards,5,0.1
54,1,E,Backwards,5,0.0526315789473684
55,1,E,Backwards,5,0
56,1,E,Backwards,5,0
57,1,E,Backwards,5,0.0714285714285714
58,1,E,Backwards,5,0
59,1,E,Backwards,5,0
60,1,E,Backwards,5,0
