subject,oddballtype,transition,direction,wordposition,CRP
4,E,to,Backwards,5,NaN
5,E,to,Backwards,5,0
6,E,to,Backwards,5,0.5
7,E,to,Backwards,5,1
9,E,to,Backwards,5,NaN
10,E,to,Backwards,5,NaN
11,E,to,Backwards,5,0.5
12,E,to,Backwards,5,NaN
14,E,to,Backwards,5,0.5
15,E,to,Backwards,5,1
16,E,to,Backwards,5,NaN
17,E,to,Backwards,5,0.5
18,E,to,Backwards,5,NaN
19,E,to,Backwards,5,NaN
20,E,to,Backwards,5,NaN
21,E,to,Backwards,5,NaN
22,E,to,Backwards,5,0
23,E,to,Backwards,5,NaN
24,E,to,Backwards,5,0
25,E,to,Backwards,5,0
26,E,to,Backwards,5,0
27,E,to,Backwards,5,0
28,E,to,Backwards,5,0
29,E,to,Backwards,5,0.5
30,E,to,Backwards,5,1
31,E,to,Backwards,5,0.333333333333333
32,E,to,Backwards,5,1
33,E,to,Backwards,5,0
34,E,to,Backwards,5,NaN
35,E,to,Backwards,5,NaN
36,E,to,Backwards,5,NaN
37,E,to,Backwards,5,NaN
38,E,to,Backwards,5,NaN
39,E,to,Backwards,5,0.333333333333333
40,E,to,Backwards,5,0
41,E,to,Backwards,5,0
42,E,to,Backwards,5,0
43,E,to,Backwards,5,NaN
44,E,to,Backwards,5,0
45,E,to,Backwards,5,NaN
46,E,to,Backwards,5,NaN
47,E,to,Backwards,5,NaN
48,E,to,Backwards,5,NaN
49,E,to,Backwards,5,1
50,E,to,Backwards,5,0.666666666666667
51,E,to,Backwards,5,0
52,E,to,Backwards,5,NaN
53,E,to,Backwards,5,NaN
54,E,to,Backwards,5,0
55,E,to,Backwards,5,0
56,E,to,Backwards,5,NaN
57,E,to,Backwards,5,NaN
58,E,to,Backwards,5,NaN
59,E,to,Backwards,5,NaN
60,E,to,Backwards,5,NaN
61,E,to,Backwards,5,NaN
62,E,to,Backwards,5,NaN
63,E,to,Backwards,5,0
64,E,to,Backwards,5,NaN
65,E,to,Backwards,5,NaN
66,E,to,Backwards,5,0
67,E,to,Backwards,5,1
68,E,to,Backwards,5,0
69,E,to,Backwards,5,0
70,E,to,Backwards,5,NaN
71,E,to,Backwards,5,NaN
72,E,to,Backwards,5,0
73,E,to,Backwards,5,NaN
74,E,to,Backwards,5,NaN
75,E,to,Backwards,5,NaN
4,E,to,Backwards,4,NaN
5,E,to,Backwards,4,0
6,E,to,Backwards,4,0.333333333333333
7,E,to,Backwards,4,0
9,E,to,Backwards,4,NaN
10,E,to,Backwards,4,NaN
11,E,to,Backwards,4,0
12,E,to,Backwards,4,NaN
14,E,to,Backwards,4,0
15,E,to,Backwards,4,0.5
16,E,to,Backwards,4,NaN
17,E,to,Backwards,4,0
18,E,to,Backwards,4,0
19,E,to,Backwards,4,NaN
20,E,to,Backwards,4,NaN
21,E,to,Backwards,4,0
22,E,to,Backwards,4,0
23,E,to,Backwards,4,NaN
24,E,to,Backwards,4,0
25,E,to,Backwards,4,NaN
26,E,to,Backwards,4,NaN
27,E,to,Backwards,4,1
28,E,to,Backwards,4,0
29,E,to,Backwards,4,0
30,E,to,Backwards,4,NaN
31,E,to,Backwards,4,0
32,E,to,Backwards,4,0
33,E,to,Backwards,4,0
34,E,to,Backwards,4,NaN
35,E,to,Backwards,4,NaN
36,E,to,Backwards,4,0
37,E,to,Backwards,4,NaN
38,E,to,Backwards,4,NaN
39,E,to,Backwards,4,0
40,E,to,Backwards,4,0
41,E,to,Backwards,4,0
42,E,to,Backwards,4,NaN
43,E,to,Backwards,4,0
44,E,to,Backwards,4,0
45,E,to,Backwards,4,NaN
46,E,to,Backwards,4,NaN
47,E,to,Backwards,4,NaN
48,E,to,Backwards,4,NaN
49,E,to,Backwards,4,NaN
50,E,to,Backwards,4,0
51,E,to,Backwards,4,0
52,E,to,Backwards,4,1
53,E,to,Backwards,4,NaN
54,E,to,Backwards,4,0
55,E,to,Backwards,4,0.333333333333333
56,E,to,Backwards,4,0
57,E,to,Backwards,4,NaN
58,E,to,Backwards,4,NaN
59,E,to,Backwards,4,1
60,E,to,Backwards,4,NaN
61,E,to,Backwards,4,NaN
62,E,to,Backwards,4,NaN
63,E,to,Backwards,4,NaN
64,E,to,Backwards,4,0
65,E,to,Backwards,4,NaN
66,E,to,Backwards,4,1
67,E,to,Backwards,4,0
68,E,to,Backwards,4,1
69,E,to,Backwards,4,1
70,E,to,Backwards,4,NaN
71,E,to,Backwards,4,NaN
72,E,to,Backwards,4,0
73,E,to,Backwards,4,0
74,E,to,Backwards,4,NaN
75,E,to,Backwards,4,0
4,E,to,Backwards,3,1
5,E,to,Backwards,3,0
6,E,to,Backwards,3,0
7,E,to,Backwards,3,0
9,E,to,Backwards,3,0.333333333333333
10,E,to,Backwards,3,0
11,E,to,Backwards,3,0
12,E,to,Backwards,3,NaN
14,E,to,Backwards,3,0
15,E,to,Backwards,3,0
16,E,to,Backwards,3,1
17,E,to,Backwards,3,0
18,E,to,Backwards,3,NaN
19,E,to,Backwards,3,NaN
20,E,to,Backwards,3,0
21,E,to,Backwards,3,0
22,E,to,Backwards,3,0
23,E,to,Backwards,3,0.5
24,E,to,Backwards,3,0.666666666666667
25,E,to,Backwards,3,NaN
26,E,to,Backwards,3,NaN
27,E,to,Backwards,3,0
28,E,to,Backwards,3,0.5
29,E,to,Backwards,3,0
30,E,to,Backwards,3,0
31,E,to,Backwards,3,0
32,E,to,Backwards,3,0
33,E,to,Backwards,3,0
34,E,to,Backwards,3,NaN
35,E,to,Backwards,3,NaN
36,E,to,Backwards,3,0
37,E,to,Backwards,3,NaN
38,E,to,Backwards,3,NaN
39,E,to,Backwards,3,0
40,E,to,Backwards,3,0
41,E,to,Backwards,3,1
42,E,to,Backwards,3,0
43,E,to,Backwards,3,NaN
44,E,to,Backwards,3,0
45,E,to,Backwards,3,NaN
46,E,to,Backwards,3,NaN
47,E,to,Backwards,3,0.5
48,E,to,Backwards,3,0
49,E,to,Backwards,3,NaN
50,E,to,Backwards,3,0
51,E,to,Backwards,3,1
52,E,to,Backwards,3,NaN
53,E,to,Backwards,3,0
54,E,to,Backwards,3,0
55,E,to,Backwards,3,0
56,E,to,Backwards,3,NaN
57,E,to,Backwards,3,0
58,E,to,Backwards,3,NaN
59,E,to,Backwards,3,0
60,E,to,Backwards,3,NaN
61,E,to,Backwards,3,NaN
62,E,to,Backwards,3,NaN
63,E,to,Backwards,3,1
64,E,to,Backwards,3,0.5
65,E,to,Backwards,3,1
66,E,to,Backwards,3,0
67,E,to,Backwards,3,NaN
68,E,to,Backwards,3,0
69,E,to,Backwards,3,0
70,E,to,Backwards,3,0
71,E,to,Backwards,3,1
72,E,to,Backwards,3,1
73,E,to,Backwards,3,0
74,E,to,Backwards,3,0
75,E,to,Backwards,3,0
4,E,to,Backwards,2,0
5,E,to,Backwards,2,0
6,E,to,Backwards,2,0
7,E,to,Backwards,2,0
9,E,to,Backwards,2,0
10,E,to,Backwards,2,0.25
11,E,to,Backwards,2,0.2
12,E,to,Backwards,2,0
14,E,to,Backwards,2,0.5
15,E,to,Backwards,2,1
16,E,to,Backwards,2,0
17,E,to,Backwards,2,0.25
18,E,to,Backwards,2,0
19,E,to,Backwards,2,NaN
20,E,to,Backwards,2,0.25
21,E,to,Backwards,2,0.5
22,E,to,Backwards,2,0
23,E,to,Backwards,2,0
24,E,to,Backwards,2,NaN
25,E,to,Backwards,2,0.333333333333333
26,E,to,Backwards,2,1
27,E,to,Backwards,2,0.5
28,E,to,Backwards,2,NaN
29,E,to,Backwards,2,NaN
30,E,to,Backwards,2,0.5
31,E,to,Backwards,2,0
32,E,to,Backwards,2,0.333333333333333
33,E,to,Backwards,2,0
34,E,to,Backwards,2,0.5
35,E,to,Backwards,2,0.333333333333333
36,E,to,Backwards,2,1
37,E,to,Backwards,2,0
38,E,to,Backwards,2,NaN
39,E,to,Backwards,2,0
40,E,to,Backwards,2,0.5
41,E,to,Backwards,2,0
42,E,to,Backwards,2,NaN
43,E,to,Backwards,2,0.5
44,E,to,Backwards,2,1
45,E,to,Backwards,2,NaN
46,E,to,Backwards,2,1
47,E,to,Backwards,2,NaN
48,E,to,Backwards,2,NaN
49,E,to,Backwards,2,0.5
50,E,to,Backwards,2,NaN
51,E,to,Backwards,2,0.333333333333333
52,E,to,Backwards,2,1
53,E,to,Backwards,2,1
54,E,to,Backwards,2,0.333333333333333
55,E,to,Backwards,2,NaN
56,E,to,Backwards,2,0
57,E,to,Backwards,2,NaN
58,E,to,Backwards,2,0
59,E,to,Backwards,2,0
60,E,to,Backwards,2,NaN
61,E,to,Backwards,2,0
62,E,to,Backwards,2,1
63,E,to,Backwards,2,0
64,E,to,Backwards,2,1
65,E,to,Backwards,2,0
66,E,to,Backwards,2,NaN
67,E,to,Backwards,2,0
68,E,to,Backwards,2,NaN
69,E,to,Backwards,2,0
70,E,to,Backwards,2,0.75
71,E,to,Backwards,2,NaN
72,E,to,Backwards,2,NaN
73,E,to,Backwards,2,NaN
74,E,to,Backwards,2,1
75,E,to,Backwards,2,1
4,E,to,Backwards,1,0.5
5,E,to,Backwards,1,0.5
6,E,to,Backwards,1,0
7,E,to,Backwards,1,0
9,E,to,Backwards,1,0
10,E,to,Backwards,1,0.5
11,E,to,Backwards,1,0
12,E,to,Backwards,1,1
14,E,to,Backwards,1,0.2
15,E,to,Backwards,1,1
16,E,to,Backwards,1,NaN
17,E,to,Backwards,1,0
18,E,to,Backwards,1,NaN
19,E,to,Backwards,1,0
20,E,to,Backwards,1,0
21,E,to,Backwards,1,0
22,E,to,Backwards,1,0
23,E,to,Backwards,1,0
24,E,to,Backwards,1,0
25,E,to,Backwards,1,0.5
26,E,to,Backwards,1,0
27,E,to,Backwards,1,0
28,E,to,Backwards,1,0
29,E,to,Backwards,1,0
30,E,to,Backwards,1,1
31,E,to,Backwards,1,0.5
32,E,to,Backwards,1,0
33,E,to,Backwards,1,0
34,E,to,Backwards,1,0
35,E,to,Backwards,1,0.333333333333333
36,E,to,Backwards,1,0
37,E,to,Backwards,1,0
38,E,to,Backwards,1,NaN
39,E,to,Backwards,1,0.5
40,E,to,Backwards,1,0
41,E,to,Backwards,1,0
42,E,to,Backwards,1,0.5
43,E,to,Backwards,1,0
44,E,to,Backwards,1,0
45,E,to,Backwards,1,0.166666666666667
46,E,to,Backwards,1,0.5
47,E,to,Backwards,1,0
48,E,to,Backwards,1,0
49,E,to,Backwards,1,0
50,E,to,Backwards,1,0
51,E,to,Backwards,1,0.333333333333333
52,E,to,Backwards,1,0.5
53,E,to,Backwards,1,0
54,E,to,Backwards,1,0.4
55,E,to,Backwards,1,0.6
56,E,to,Backwards,1,0.5
57,E,to,Backwards,1,0.5
58,E,to,Backwards,1,1
59,E,to,Backwards,1,1
60,E,to,Backwards,1,0
61,E,to,Backwards,1,1
62,E,to,Backwards,1,0.333333333333333
63,E,to,Backwards,1,0
64,E,to,Backwards,1,0.333333333333333
65,E,to,Backwards,1,0
66,E,to,Backwards,1,0.5
67,E,to,Backwards,1,0
68,E,to,Backwards,1,0.666666666666667
69,E,to,Backwards,1,0.333333333333333
70,E,to,Backwards,1,0.333333333333333
71,E,to,Backwards,1,NaN
72,E,to,Backwards,1,NaN
73,E,to,Backwards,1,1
74,E,to,Backwards,1,NaN
75,E,to,Backwards,1,0.5
4,E,to,Forwards,1,0.5
5,E,to,Forwards,1,1
6,E,to,Forwards,1,0
7,E,to,Forwards,1,0.333333333333333
9,E,to,Forwards,1,0
10,E,to,Forwards,1,0.4
11,E,to,Forwards,1,0.5
12,E,to,Forwards,1,0.666666666666667
14,E,to,Forwards,1,0.75
15,E,to,Forwards,1,0
16,E,to,Forwards,1,0
17,E,to,Forwards,1,0.6
18,E,to,Forwards,1,NaN
19,E,to,Forwards,1,NaN
20,E,to,Forwards,1,NaN
21,E,to,Forwards,1,0
22,E,to,Forwards,1,0.285714285714286
23,E,to,Forwards,1,0.333333333333333
24,E,to,Forwards,1,0
25,E,to,Forwards,1,0
26,E,to,Forwards,1,0
27,E,to,Forwards,1,0.5
28,E,to,Forwards,1,0.25
29,E,to,Forwards,1,0
30,E,to,Forwards,1,0.333333333333333
31,E,to,Forwards,1,0.666666666666667
32,E,to,Forwards,1,0.2
33,E,to,Forwards,1,1
34,E,to,Forwards,1,0.285714285714286
35,E,to,Forwards,1,0.5
36,E,to,Forwards,1,1
37,E,to,Forwards,1,0.5
38,E,to,Forwards,1,0
39,E,to,Forwards,1,0.4
40,E,to,Forwards,1,0
41,E,to,Forwards,1,0
42,E,to,Forwards,1,1
43,E,to,Forwards,1,0
44,E,to,Forwards,1,1
45,E,to,Forwards,1,0.4
46,E,to,Forwards,1,NaN
47,E,to,Forwards,1,0
48,E,to,Forwards,1,0
49,E,to,Forwards,1,0.5
50,E,to,Forwards,1,0.666666666666667
51,E,to,Forwards,1,0
52,E,to,Forwards,1,0.2
53,E,to,Forwards,1,1
54,E,to,Forwards,1,0.666666666666667
55,E,to,Forwards,1,0
56,E,to,Forwards,1,0
57,E,to,Forwards,1,0
58,E,to,Forwards,1,0.5
59,E,to,Forwards,1,0
60,E,to,Forwards,1,0
61,E,to,Forwards,1,0.2
62,E,to,Forwards,1,0.666666666666667
63,E,to,Forwards,1,0
64,E,to,Forwards,1,0.5
65,E,to,Forwards,1,0
66,E,to,Forwards,1,0.333333333333333
67,E,to,Forwards,1,NaN
68,E,to,Forwards,1,0
69,E,to,Forwards,1,0
70,E,to,Forwards,1,0
71,E,to,Forwards,1,0
72,E,to,Forwards,1,0
73,E,to,Forwards,1,0.5
74,E,to,Forwards,1,1
75,E,to,Forwards,1,0.25
4,E,to,Forwards,2,0
5,E,to,Forwards,2,0.5
6,E,to,Forwards,2,NaN
7,E,to,Forwards,2,0.333333333333333
9,E,to,Forwards,2,1
10,E,to,Forwards,2,0
11,E,to,Forwards,2,0.285714285714286
12,E,to,Forwards,2,0.6
14,E,to,Forwards,2,0.2
15,E,to,Forwards,2,0.5
16,E,to,Forwards,2,0
17,E,to,Forwards,2,0.5
18,E,to,Forwards,2,NaN
19,E,to,Forwards,2,1
20,E,to,Forwards,2,0.333333333333333
21,E,to,Forwards,2,0.4
22,E,to,Forwards,2,0.333333333333333
23,E,to,Forwards,2,0.25
24,E,to,Forwards,2,0.5
25,E,to,Forwards,2,0
26,E,to,Forwards,2,NaN
27,E,to,Forwards,2,0.5
28,E,to,Forwards,2,0.5
29,E,to,Forwards,2,1
30,E,to,Forwards,2,NaN
31,E,to,Forwards,2,0.166666666666667
32,E,to,Forwards,2,0.5
33,E,to,Forwards,2,0.333333333333333
34,E,to,Forwards,2,0
35,E,to,Forwards,2,0.142857142857143
36,E,to,Forwards,2,0.8
37,E,to,Forwards,2,NaN
38,E,to,Forwards,2,0
39,E,to,Forwards,2,0
40,E,to,Forwards,2,0
41,E,to,Forwards,2,0.5
42,E,to,Forwards,2,0
43,E,to,Forwards,2,0.25
44,E,to,Forwards,2,NaN
45,E,to,Forwards,2,0
46,E,to,Forwards,2,NaN
47,E,to,Forwards,2,0
48,E,to,Forwards,2,0
49,E,to,Forwards,2,NaN
50,E,to,Forwards,2,0
51,E,to,Forwards,2,0.666666666666667
52,E,to,Forwards,2,0.333333333333333
53,E,to,Forwards,2,NaN
54,E,to,Forwards,2,0.333333333333333
55,E,to,Forwards,2,0.333333333333333
56,E,to,Forwards,2,0.5
57,E,to,Forwards,2,0
58,E,to,Forwards,2,1
59,E,to,Forwards,2,0
60,E,to,Forwards,2,1
