enc_pos,rec_pos,list_type,subject,item
13,,perceptual,4,control
13,,emotional,4,control
12,5,perceptual,4,control
13,4,perceptual,4,control
11,6,perceptual,4,control
13,,perceptual,4,control
7,,perceptual,4,control
7,2,perceptual,4,control
7,2,perceptual,4,control
7,,perceptual,4,control
13,,perceptual,4,control
12,,emotional,4,control
12,6,emotional,4,control
7,2,perceptual,4,control
8,4,perceptual,4,control
12,7,perceptual,4,control
12,,emotional,4,control
13,,perceptual,4,control
11,5,perceptual,4,control
7,,emotional,4,control
13,5,emotional,4,control
12,1,emotional,4,control
11,,emotional,4,control
7,3,perceptual,4,control
8,2,emotional,4,control
13,,perceptual,4,control
12,,emotional,4,control
13,,emotional,4,control
11,,perceptual,4,control
7,6,perceptual,4,control
13,,emotional,4,control
11,,emotional,4,control
13,6,emotional,4,control
13,,emotional,4,control
13,5,emotional,4,control
11,8,emotional,4,control
12,6,emotional,4,control
11,2,emotional,4,control
13,3,perceptual,4,control
13,2,emotional,4,control
7,5,emotional,5,control
11,,perceptual,5,control
13,2,emotional,5,control
12,,perceptual,5,control
11,,emotional,5,control
8,,emotional,5,control
13,,perceptual,5,control
8,,emotional,5,control
13,,emotional,5,control
13,,perceptual,5,control
7,,perceptual,5,control
7,,emotional,5,control
8,,perceptual,5,control
13,4,perceptual,5,control
8,,emotional,5,control
7,,emotional,5,control
13,7,emotional,5,control
7,,emotional,5,control
13,6,emotional,5,control
12,4,perceptual,5,control
7,,perceptual,5,control
11,7,perceptual,5,control
8,,perceptual,5,control
13,,perceptual,5,control
13,,perceptual,5,control
8,,emotional,5,control
13,,emotional,5,control
12,,emotional,5,control
13,8,perceptual,5,control
13,,perceptual,5,control
13,6,perceptual,5,control
13,,emotional,5,control
13,2,emotional,5,control
7,4,emotional,5,control
12,5,perceptual,5,control
13,7,perceptual,5,control
8,9,emotional,5,control
11,,emotional,5,control
12,,perceptual,5,control
11,10,perceptual,5,control
7,,emotional,6,control
13,,emotional,6,control
11,,perceptual,6,control
13,,perceptual,6,control
8,,emotional,6,control
13,3,perceptual,6,control
12,,emotional,6,control
13,,emotional,6,control
12,1,perceptual,6,control
13,,perceptual,6,control
13,2,perceptual,6,control
12,6,emotional,6,control
7,,perceptual,6,control
12,,perceptual,6,control
13,,emotional,6,control
