word,mean,sd
abogado,1,3.295
abrigo,1.8,2.484
academia,2,2.619
acompanante,2.333,1.759
actor,2.6,1.724
aerobic,1.6,2.898
aeropuerto,1.8,2.883
aficion,2.2,2.808
agua,4.067,2.086
ahogado,-5.4,1.549
aire,3.867,1.959
alcalde,-0.067,2.712
alcoba,1.2,2.704
alimento,3.267,2.251
almacen,0.733,2.344
almohada,3.333,2.16
almuerzo,2.6,1.993
alpinista,1.333,2.093
altillo,1.533,1.685
altura,1.867,2.615
amanecer,4.067,1.751
ambiente,3.133,2.031
amputacion,-5.8,0.414
andamio,-0.067,2.404
anillo,1.467,2.997
animal,2.533,2.2
aniversario,3.733,1.981
anochecer,3.533,1.995
anochoa,1.933,2.576
anuncio,-0.2,2.426
apartamento,2.267,2.314
aprendiz,2.333,2.289
arbol,3.667,1.915
ardilla,2.467,2.356
armario,0.4,1.549
arroyo,2.933,2.219
arroz,2.6,2.324
articulacion,0.667,1.839
articulo,1.667,2.059
asador,1.933,3.058
asamblea,1.8,2.569
asesino,-5.667,0.9
asfixia,-5,2.138
asociacion,1.733,1.751
atleta,2.667,2.024
atmosfera,3.733,2.154
atun,2.533,2.642
aula,1.667,2.845
autobus,0.933,2.187
autor,2.267,2.314
avenida,1.6,1.682
avion,2.867,2.167
bacalao,2.333,2.498
bajada,1.067,1.87
bajada_w2,0.533,1.995
bajo,0.667,1.718
balcon,2.933,1.624
bano,2.667,2.38
banquero,-1.467,3.292
barco,3,2.535
baul,2.133,2.295
bebe,2.8,2.426
biberon,1.8,2.305
bicicleta,3,2.236
biografia,0.8,1.781
boca,2.333,1.915
bocata,3.067,2.604
boda,2,2.726
bosque,4.067,2.344
bote,0.667,1.589
branquias,0.467,2.503
brasero,1.8,2.513
brazo,1.333,2.093
brinco,1.067,2.52
brisa,4.267,1.792
bucal,-0.4,1.92
buffet,3.8,2.242
cabana,3,2.236
cabeza,1.933,1.981
cadera,1.4,1.595
cafetera,2.867,2.416
caja,1.067,1.668
cajon,0.733,1.387
calefaccion,3.133,1.959
calentador,1.6,1.805
calle,1.2,1.74
cama,3.4,2.063
caminata,1.733,2.987
camino,2.733,2.374
camion,0.2,2.731
campanario,1.267,2.712
campo,3.533,2.134
canal,2.2,2.111
canario,1.333,2.92
cancer,-5.667,0.816
cancion,3.2,2.145
cantante,2.6,1.957
capilla,-2.2,2.111
capitulo,2.067,2.052
carbon,-1.667,2.41
carpintero,2.2,2.077
carrera,2.4,1.957
casa,3.4,2.444
casillero,-0.133,1.407
catedral,2.133,1.727
cauce,2.6,1.882
cebada,2,2.478
ceguera,-4.6,1.682
cena,3.333,1.988
cepillo,1.733,1.751
cerebro,3.2,2.396
cereles,2.133,1.922
ceremonia,1.6,2.444
chalet,3.4,2.028
chicle,-0.333,3.039
chico,1.267,2.12
chimenea,3.533,1.922
chispa,1.467,3.044
chofer,1.467,2.264
ciclista,2,1.813
cima,3.667,1.877
cincel,0.6,1.882
cine,3.733,1.944
clavo,-0.267,2.987
clero,-2.267,2.282
coche,1.467,2.031
cocina,2.867,1.922
cocinero,2.933,1.87
codo,0.467,2.031
cojin,2.8,2.077
colchon,2.6,2.197
colega,3.533,1.922
colegio,2.8,2.145
coliseo,2.067,2.89
columna,1,1.927
comida,4,2
companero,3.333,1.877
compromiso,2.733,2.463
comunicaci—n,3,2.928
comunidad,3.267,1.981
comunion,-2,2.563
concentracion,1.4,2.165
concepcion,0.867,2.997
concierto,3.667,2.059
concurrencia,1,1.69
conductor,1.533,1.685
congregacion,0.333,2.582
congreso,0.6,2.23
conjeo,2.533,2.326
conocimiento,4.733,1.668
consenso,2.667,2.127
consigna,0.6,1.882
