subject,recall,item_who,word_who,list,soa,listtype
4,1,oddball,tumor,2,3,emotional
4,0,oddball,hambruna,12,1,emotional
4,0,oddball,ceguera,13,6,emotional
4,1,oddball,amputacion,17,6,emotional
4,0,oddball,sufrimiento,20,1,emotional
4,1,oddball,traidor,21,2,emotional
4,0,oddball,ahogado,22,1,emotional
4,1,oddball,nazi,23,4,emotional
4,0,oddball,cancer,25,2,emotional
4,0,oddball,masacre,27,1,emotional
4,1,oddball,asfixia,28,3,emotional
4,0,oddball,morgue,31,4,emotional
4,1,oddball,suicida,32,3,emotional
4,1,oddball,crimen,33,4,emotional
4,0,oddball,violacion,34,2,emotional
4,0,oddball,plaga,35,2,emotional
4,0,oddball,sida,36,6,emotional
4,1,oddball,asesino,37,4,emotional
4,0,oddball,paraplejico,38,6,emotional
4,1,oddball,terrorista,40,3,emotional
5,1,oddball,suicida,1,3,emotional
5,0,oddball,cancer,3,6,emotional
5,0,oddball,asfixia,5,2,emotional
5,1,oddball,ceguera,6,3,emotional
5,0,oddball,hambruna,8,3,emotional
5,1,oddball,sida,9,1,emotional
5,0,oddball,sufrimiento,12,2,emotional
5,1,oddball,asesino,15,4,emotional
5,0,oddball,violacion,16,6,emotional
5,1,oddball,paraplejico,17,1,emotional
5,1,oddball,crimen,18,4,emotional
5,0,oddball,traidor,19,6,emotional
5,1,oddball,terrorista,26,1,emotional
5,1,oddball,plaga,27,4,emotional
5,0,oddball,amputacion,28,4,emotional
5,1,oddball,masacre,32,6,emotional
5,1,oddball,ahogado,33,2,emotional
5,1,oddball,nazi,34,3,emotional
5,1,oddball,tumor,37,2,emotional
5,0,oddball,morgue,38,1,emotional
6,0,oddball,violacion,1,2,emotional
6,1,oddball,sufrimiento,2,2,emotional
6,0,oddball,suicida,5,3,emotional
6,1,oddball,masacre,7,6,emotional
6,0,oddball,crimen,8,1,emotional
6,1,oddball,sida,12,3,emotional
6,1,oddball,asfixia,15,2,emotional
6,0,oddball,paraplejico,16,2,emotional
6,0,oddball,ahogado,18,3,emotional
6,1,oddball,traidor,19,3,emotional
6,0,oddball,morgue,20,4,emotional
6,0,oddball,terrorista,23,1,emotional
6,1,oddball,plaga,26,6,emotional
6,1,oddball,amputacion,29,4,emotional
6,1,oddball,hambruna,30,6,emotional
6,0,oddball,asesino,31,1,emotional
6,1,oddball,nazi,34,1,emotional
6,1,oddball,cancer,35,4,emotional
6,1,oddball,tumor,36,4,emotional
6,0,oddball,ceguera,37,6,emotional
7,0,oddball,nazi,2,3,emotional
