total_recall_list,SOA,subject
6,6,4
7,3,4
6,2,4
5,2,4
6,1,4
3,1,4
6,6,4
8,4,4
7,6,4
5,4,4
4,3,4
1,1,4
6,6,4
4,4,4
5,2,4
8,6,4
7,6,4
6,3,4
6,2,4
4,1,4
9,2,4
5,1,4
4,4,4
7,1,4
4,2,4
5,4,4
2,1,4
6,3,4
1,1,4
8,3,4
4,4,4
8,3,4
6,4,4
3,2,4
5,2,4
9,6,4
9,4,4
7,6,4
4,3,4
3,3,4
8,3,5
5,3,5
6,6,5
6,3,5
7,2,5
5,3,5
6,1,5
4,3,5
1,1,5
6,2,5
4,1,5
4,2,5
6,6,5
6,2,5
8,4,5
6,6,5
7,1,5
7,4,5
6,6,5
10,6,5
7,4,5
8,4,5
3,1,5
3,1,5
7,3,5
3,1,5
6,4,5
7,4,5
8,6,5
10,4,5
10,4,5
7,6,5
10,2,5
6,3,5
8,2,5
9,6,5
10,2,5
2,1,5
5,3,5
11,2,5
4,2,6
8,2,6
7,3,6
8,6,6
7,3,6
9,6,6
7,6,6
5,1,6
6,1,6
9,4,6
11,4,6
11,3,6
6,2,6
9,4,6
8,2,6
9,2,6
13,3,6
9,3,6
7,3,6
7,4,6
5,2,6
9,3,6
3,1,6
10,3,6
5,1,6
9,6,6
7,6,6
6,2,6
9,4,6
7,6,6
6,1,6
11,4,6
5,1,6
6,1,6
8,4,6
8,4,6
8,6,6
7,2,6
4,6,6
7,1,6
8,3,7
6,3,7
8,4,7
8,2,7
6,2,7
7,6,7
8,6,7
7,2,7
12,4,7
10,2,7
8,3,7
6,1,7
8,2,7
8,3,7
11,6,7
7,1,7
9,6,7
6,1,7
11,6,7
10,3,7
10,4,7
6,4,7
10,6,7
3,2,7
10,4,7
9,1,7
9,6,7
4,4,7
7,1,7
9,1,7
4,4,7
9,3,7
7,1,7
9,2,7
7,2,7
7,1,7
10,6,7
8,3,7
10,4,7
11,6,9
11,4,9
7,3,9
11,4,9
3,1,9
6,2,9
7,6,9
6,2,9
10,6,9
9,4,9
8,1,9
11,3,9
6,2,9
9,4,9
6,1,9
10,3,9
10,6,9
5,1,9
10,4,9
