enc_pos,rec_pos,list_type,subject,item
9,2,perceptual,4,oddball
8,6,emotional,4,oddball
8,3,perceptual,4,oddball
9,,perceptual,4,oddball
7,2,perceptual,4,oddball
7,2,perceptual,4,oddball
11,3,perceptual,4,oddball
12,6,perceptual,4,oddball
11,1,perceptual,4,oddball
12,3,perceptual,4,oddball
8,3,perceptual,4,oddball
8,,emotional,4,oddball
7,,emotional,4,oddball
12,,perceptual,4,oddball
12,5,perceptual,4,oddball
8,,perceptual,4,oddball
7,6,emotional,4,oddball
9,,perceptual,4,oddball
7,3,perceptual,4,oddball
11,,emotional,4,oddball
9,7,emotional,4,oddball
8,,emotional,4,oddball
7,3,emotional,4,oddball
11,2,perceptual,4,oddball
12,,emotional,4,oddball
9,,perceptual,4,oddball
7,,emotional,4,oddball
7,3,emotional,4,oddball
7,,perceptual,4,oddball
12,,perceptual,4,oddball
9,,emotional,4,oddball
7,4,emotional,4,oddball
8,5,emotional,4,oddball
9,,emotional,4,oddball
9,,emotional,4,oddball
7,,emotional,4,oddball
8,7,emotional,4,oddball
7,,emotional,4,oddball
9,4,perceptual,4,oddball
9,3,emotional,4,oddball
11,6,emotional,5,oddball
7,,perceptual,5,oddball
7,,emotional,5,oddball
8,,perceptual,5,oddball
7,,emotional,5,oddball
12,3,emotional,5,oddball
9,3,perceptual,5,oddball
12,,emotional,5,oddball
7,1,emotional,5,oddball
8,1,perceptual,5,oddball
11,,perceptual,5,oddball
11,,emotional,5,oddball
12,5,perceptual,5,oddball
7,6,perceptual,5,oddball
12,4,emotional,5,oddball
12,,emotional,5,oddball
9,5,emotional,5,oddball
11,5,emotional,5,oddball
9,,emotional,5,oddball
8,5,perceptual,5,oddball
12,,perceptual,5,oddball
7,4,perceptual,5,oddball
12,,perceptual,5,oddball
7,,perceptual,5,oddball
8,4,perceptual,5,oddball
12,1,emotional,5,oddball
8,5,emotional,5,oddball
7,,emotional,5,oddball
7,,perceptual,5,oddball
8,9,perceptual,5,oddball
