recprob,subject,encpos,list_type,item,soa
0,4,7,emotional,oddball,1
0.5,5,7,emotional,oddball,1
0,6,7,emotional,oddball,1
0.5,7,7,emotional,oddball,1
0.5,9,7,emotional,oddball,1
0.5,10,7,emotional,oddball,1
0,11,7,emotional,oddball,1
0,12,7,emotional,oddball,1
1,14,7,emotional,oddball,1
1,15,7,emotional,oddball,1
0,16,7,emotional,oddball,1
0,17,7,emotional,oddball,1
0.333333333333333,19,7,emotional,oddball,1
0,20,7,emotional,oddball,1
0,23,7,emotional,oddball,1
0,26,7,emotional,oddball,1
1,27,7,emotional,oddball,1
1,28,7,emotional,oddball,1
0,29,7,emotional,oddball,1
0,30,7,emotional,oddball,1
0,32,7,emotional,oddball,1
1,33,7,emotional,oddball,1
1,34,7,emotional,oddball,1
1,35,7,emotional,oddball,1
0,36,7,emotional,oddball,1
1,37,7,emotional,oddball,1
0,40,7,emotional,oddball,1
1,41,7,emotional,oddball,1
0,42,7,emotional,oddball,1
0,43,7,emotional,oddball,1
0.333333333333333,45,7,emotional,oddball,1
0.5,47,7,emotional,oddball,1
0,48,7,emotional,oddball,1
1,49,7,emotional,oddball,1
1,52,7,emotional,oddball,1
0,53,7,emotional,oddball,1
0.5,54,7,emotional,oddball,1
0,55,7,emotional,oddball,1
0,56,7,emotional,oddball,1
1,57,7,emotional,oddball,1
1,58,7,emotional,oddball,1
0,59,7,emotional,oddball,1
1,60,7,emotional,oddball,1
0,61,7,emotional,oddball,1
0,62,7,emotional,oddball,1
0,64,7,emotional,oddball,1
1,65,7,emotional,oddball,1
1,69,7,emotional,oddball,1
1,70,7,emotional,oddball,1
0.5,71,7,emotional,oddball,1
0,72,7,emotional,oddball,1
0,73,7,emotional,oddball,1
0,75,7,emotional,oddball,1
0,4,7,emotional,oddball-1,1
0,5,7,emotional,oddball-1,1
1,6,7,emotional,oddball-1,1
1,7,7,emotional,oddball-1,1
0,9,7,emotional,oddball-1,1
0,10,7,emotional,oddball-1,1
0,11,7,emotional,oddball-1,1
1,12,7,emotional,oddball-1,1
0,14,7,emotional,oddball-1,1
0.5,15,7,emotional,oddball-1,1
0.5,16,7,emotional,oddball-1,1
0,17,7,emotional,oddball-1,1
0.333333333333333,19,7,emotional,oddball-1,1
0.5,20,7,emotional,oddball-1,1
0,23,7,emotional,oddball-1,1
0,26,7,emotional,oddball-1,1
0,27,7,emotional,oddball-1,1
0,28,7,emotional,oddball-1,1
0,29,7,emotional,oddball-1,1
0,30,7,emotional,oddball-1,1
0,32,7,emotional,oddball-1,1
0,33,7,emotional,oddball-1,1
1,34,7,emotional,oddball-1,1
1,35,7,emotional,oddball-1,1
0.5,36,7,emotional,oddball-1,1
0,37,7,emotional,oddball-1,1
0,40,7,emotional,oddball-1,1
1,41,7,emotional,oddball-1,1
0,42,7,emotional,oddball-1,1
1,43,7,emotional,oddball-1,1
0,45,7,emotional,oddball-1,1
1,47,7,emotional,oddball-1,1
0,48,7,emotional,oddball-1,1
0,49,7,emotional,oddball-1,1
1,52,7,emotional,oddball-1,1
0,53,7,emotional,oddball-1,1
1,54,7,emotional,oddball-1,1
0,55,7,emotional,oddball-1,1
1,56,7,emotional,oddball-1,1
1,57,7,emotional,oddball-1,1
0,58,7,emotional,oddball-1,1
0,59,7,emotional,oddball-1,1
0.5,60,7,emotional,oddball-1,1
0.5,61,7,emotional,oddball-1,1
0,62,7,emotional,oddball-1,1
1,64,7,emotional,oddball-1,1
0,65,7,emotional,oddball-1,1
1,69,7,emotional,oddball-1,1
0,70,7,emotional,oddball-1,1
0,71,7,emotional,oddball-1,1
0,72,7,emotional,oddball-1,1
0.5,73,7,emotional,oddball-1,1
0,75,7,emotional,oddball-1,1
0,4,7,emotional,oddball-2,1
0,5,7,emotional,oddball-2,1
0,6,7,emotional,oddball-2,1
0.5,7,7,emotional,oddball-2,1
0,9,7,emotional,oddball-2,1
0.5,10,7,emotional,oddball-2,1
0,11,7,emotional,oddball-2,1
0,12,7,emotional,oddball-2,1
0,14,7,emotional,oddball-2,1
0.5,15,7,emotional,oddball-2,1
0,16,7,emotional,oddball-2,1
0,17,7,emotional,oddball-2,1
0.333333333333333,19,7,emotional,oddball-2,1
0.5,20,7,emotional,oddball-2,1
0,23,7,emotional,oddball-2,1
0,26,7,emotional,oddball-2,1
0,27,7,emotional,oddball-2,1
0,28,7,emotional,oddball-2,1
0,29,7,emotional,oddball-2,1
0,30,7,emotional,oddball-2,1
0.5,32,7,emotional,oddball-2,1
0,33,7,emotional,oddball-2,1
0,34,7,emotional,oddball-2,1
1,35,7,emotional,oddball-2,1
0,36,7,emotional,oddball-2,1
0,37,7,emotional,oddball-2,1
1,40,7,emotional,oddball-2,1
0,41,7,emotional,oddball-2,1
0,42,7,emotional,oddball-2,1
1,43,7,emotional,oddball-2,1
0.666666666666667,45,7,emotional,oddball-2,1
0.5,47,7,emotional,oddball-2,1
0,48,7,emotional,oddball-2,1
0,49,7,emotional,oddball-2,1
0,52,7,emotional,oddball-2,1
0,53,7,emotional,oddball-2,1
1,54,7,emotional,oddball-2,1
0,55,7,emotional,oddball-2,1
1,56,7,emotional,oddball-2,1
1,57,7,emotional,oddball-2,1
0,58,7,emotional,oddball-2,1
0,59,7,emotional,oddball-2,1
1,60,7,emotional,oddball-2,1
1,61,7,emotional,oddball-2,1
0,62,7,emotional,oddball-2,1
1,64,7,emotional,oddball-2,1
1,65,7,emotional,oddball-2,1
0,69,7,emotional,oddball-2,1
0,70,7,emotional,oddball-2,1
0,71,7,emotional,oddball-2,1
0,72,7,emotional,oddball-2,1
0,73,7,emotional,oddball-2,1
0,75,7,emotional,oddball-2,1
0,4,7,emotional,oddball+1,1
0.5,5,7,emotional,oddball+1,1
0,6,7,emotional,oddball+1,1
0,7,7,emotional,oddball+1,1
0.5,9,7,emotional,oddball+1,1
0.5,10,7,emotional,oddball+1,1
1,11,7,emotional,oddball+1,1
0,12,7,emotional,oddball+1,1
0,14,7,emotional,oddball+1,1
1,15,7,emotional,oddball+1,1
0.5,16,7,emotional,oddball+1,1
0.5,17,7,emotional,oddball+1,1
0.333333333333333,19,7,emotional,oddball+1,1
0.5,20,7,emotional,oddball+1,1
0,23,7,emotional,oddball+1,1
0,26,7,emotional,oddball+1,1
1,27,7,emotional,oddball+1,1
0,28,7,emotional,oddball+1,1
0,29,7,emotional,oddball+1,1
1,30,7,emotional,oddball+1,1
0.5,32,7,emotional,oddball+1,1
0,33,7,emotional,oddball+1,1
0.5,34,7,emotional,oddball+1,1
0,35,7,emotional,oddball+1,1
0,36,7,emotional,oddball+1,1
1,37,7,emotional,oddball+1,1
0,40,7,emotional,oddball+1,1
1,41,7,emotional,oddball+1,1
1,42,7,emotional,oddball+1,1
0,43,7,emotional,oddball+1,1
0,45,7,emotional,oddball+1,1
0,47,7,emotional,oddball+1,1
0.5,48,7,emotional,oddball+1,1
0,49,7,emotional,oddball+1,1
0,52,7,emotional,oddball+1,1
1,53,7,emotional,oddball+1,1
0.5,54,7,emotional,oddball+1,1
0.5,55,7,emotional,oddball+1,1
0,56,7,emotional,oddball+1,1
0,57,7,emotional,oddball+1,1
0,58,7,emotional,oddball+1,1
0,59,7,emotional,oddball+1,1
0,60,7,emotional,oddball+1,1
0,61,7,emotional,oddball+1,1
0,62,7,emotional,oddball+1,1
1,64,7,emotional,oddball+1,1
1,65,7,emotional,oddball+1,1
0,69,7,emotional,oddball+1,1
0,70,7,emotional,oddball+1,1
0.5,71,7,emotional,oddball+1,1
0.5,72,7,emotional,oddball+1,1
0,73,7,emotional,oddball+1,1
0,75,7,emotional,oddball+1,1
0,4,8,emotional,oddball,1
