"","subject","emotional_control","emotional_controlm1","emotional_controlm2","emotional_controlp1","emotional_oddball","emotional_oddballm1","emotional_oddballm2","emotional_oddballp1","perceptual_control","perceptual_controlm1","perceptual_controlm2","perceptual_controlp1","perceptual_oddball","perceptual_oddballm1","perceptual_oddballm2","perceptual_oddballp1"
"1","4",0.5,0.354,0.104,0.521,0.275,0.412,0.475,0.288,0.845,0.196,0.071,0.488,0.754,0.317,0.546,0.496
"2","5",0.15,0.15,0.375,0.575,0.643,0.399,0.196,0.72,0.292,0.562,0.479,0.542,0.408,0.396,0.358,0.744
"3","6",0.292,0.771,0.479,0.667,0.558,0.583,0.583,0.45,0.462,0.462,0.65,0.6,0.583,0.556,0.111,0.639
"4","7",0.392,0.525,0.8,0.308,0.211,0.539,0.461,0.392,0.838,0.756,0.588,0.537,0.431,0.588,0.481,0.662
"5","9",0.525,0.4,0.162,0.338,0.646,0.49,0.562,0.573,0.667,0.604,0.417,0.354,0.754,0.333,0.542,0.25
"6","10",0.329,0.421,0.546,0.692,0.682,0.371,0.534,0.632,0.354,0.354,0.625,0.312,0.55,0.617,0.567,0.575
"7","11",0.74,0.698,0.823,0.667,0.75,0.479,0.573,0.719,0.562,0.726,0.71,0.293,0.75,0.229,0.562,0.688
"8","12",0.767,0.367,0.3,0.578,0.667,0.615,0.333,0.344,0.725,0.762,0.412,0.362,0.713,0.362,0.75,0.331
"9","14",0.4,0.558,0.45,0.608,0.753,0.363,0.693,0.72,0.572,0.411,0.739,0.917,0.643,0.536,0.464,0.405
"10","15",0.5,0.5,0.688,0.625,0.831,0.324,0.488,0.612,0.625,0.344,0.5,0.562,0.58,0.545,0.263,0.545
"11","16",0.146,0.771,0.396,0.479,0.606,0.36,0.348,0.577,0.333,0.389,0.167,0.778,0.417,0.542,0.667,0.375
"12","17",0.354,0.542,0.458,0.208,0.5,0.518,0.643,0.5,0.484,0.429,0.504,0.718,0.581,0.544,0.581,0.45
"13","18",0.25,0.317,0.6,0.383,0.732,0.741,0.321,0.527,0.139,0.389,0.833,0.694,0.51,0.49,0.667,0.469
"14","19",0.133,0.342,0.308,0.467,0.422,0.067,0.578,0.389,0.679,0.45,0.433,0.692,0.501,0.404,0.535,0.632
"15","20",0.533,0.517,0.658,0.433,0.531,0.5,0.438,0.656,0.438,0.583,0.521,0.615,0.762,0.288,0.588,0.462
"16","21",0.537,0.7,0.35,0.588,0.454,0.502,0.434,0.368,0.45,0.533,0.338,0.867,0.354,0.312,0.458,0.542
"17","22",0.667,0.806,0.444,0.528,0.792,0.625,0.396,0.438,0.619,0.833,0.31,0.655,0.85,0.613,0.787,0.637
"18","23",0.333,0.233,0.333,0.317,0.551,0.256,0.256,0.483,0,0,0.083,0.083,0.062,0,0.312,0.312
"19","24",0.329,0.371,0.669,0.402,0.644,0.594,0.35,0.469,0.236,0.264,0.486,0.486,0.629,0.49,0.471,0.41
"20","25",0.7,0.589,0.689,0.111,0.544,0.277,0.34,0.458,0.371,0.175,0.412,0.371,0.771,0.51,0.458,0.573
"21","26",0.208,0.25,0.25,0.417,0.613,0.412,0.162,0.062,0.662,0.838,0.392,0.175,0.565,0.265,0.321,0.524
"22","27",0.757,0.739,0.518,0.707,0.617,0.525,0.517,0.825,0.333,0.4,0.556,0.444,0.601,0.712,0.485,0.313
"23","28",0.422,0.489,0.378,0.422,0.673,0.53,0.378,0.601,0.667,0.375,0.583,0.542,0.675,0.288,0.438,0.525
