"","subject","emotional_control_1","emotional_control_2","emotional_control_3","emotional_control_4","emotional_control_6","emotional_control-1_1","emotional_control-1_2","emotional_control-1_3","emotional_control-1_4","emotional_control-1_6","emotional_control-2_1","emotional_control-2_2","emotional_control-2_3","emotional_control-2_4","emotional_control-2_6","emotional_control+1_1","emotional_control+1_2","emotional_control+1_3","emotional_control+1_4","emotional_control+1_6","emotional_oddball_1","emotional_oddball_2","emotional_oddball_3","emotional_oddball_4","emotional_oddball_6","emotional_oddball-1_1","emotional_oddball-1_2","emotional_oddball-1_3","emotional_oddball-1_4","emotional_oddball-1_6","emotional_oddball-2_1","emotional_oddball-2_2","emotional_oddball-2_3","emotional_oddball-2_4","emotional_oddball-2_6","emotional_oddball+1_1","emotional_oddball+1_2","emotional_oddball+1_3","emotional_oddball+1_4","emotional_oddball+1_6","perceptual_control_1","perceptual_control_2","perceptual_control_3","perceptual_control_4","perceptual_control_6","perceptual_control-1_1","perceptual_control-1_2","perceptual_control-1_3","perceptual_control-1_4","perceptual_control-1_6","perceptual_control-2_1","perceptual_control-2_2","perceptual_control-2_3","perceptual_control-2_4","perceptual_control-2_6","perceptual_control+1_1","perceptual_control+1_2","perceptual_control+1_3","perceptual_control+1_4","perceptual_control+1_6","perceptual_oddball_1","perceptual_oddball_2","perceptual_oddball_3","perceptual_oddball_4","perceptual_oddball_6","perceptual_oddball-1_1","perceptual_oddball-1_2","perceptual_oddball-1_3","perceptual_oddball-1_4","perceptual_oddball-1_6","perceptual_oddball-2_1","perceptual_oddball-2_2","perceptual_oddball-2_3","perceptual_oddball-2_4","perceptual_oddball-2_6","perceptual_oddball+1_1","perceptual_oddball+1_2","perceptual_oddball+1_3","perceptual_oddball+1_4","perceptual_oddball+1_6"
"1","4",0.167,1,0,0.5,0.75,0.333,0,0,1,0.75,0,0,0,0.5,0.25,0.167,1,1,0,0.75,0,0,1,1,0.25,0,0,0.5,0.5,0,0,1,1,0.75,0.25,0,0,1,0.25,1,0.75,1,1,0.667,0.75,0,0,1,0.333,0.5,0,0,1,0.333,0,0.25,0.667,0,0,0.5,0.833,1,0.5,0.667,0.5,0,0.333,0.5,0.667,0.25,0.5,0.333,0.5,0.667,1,0.667,0.333,1,0.333,0.25
"2","5",0,0.333,0.5,0,0,0,0.333,0.25,0,1,0.5,0.667,0.5,0,1,0,1,0.5,0.333,0,0.75,0.5,0.833,0.75,0.25,0,0.5,0.333,0.5,0.25,0,0.25,0.5,0.5,0.5,0.75,0.75,0.667,0.75,0.25,0,1,0,0.5,0.5,0.5,1,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,0,0.833,0.5,0.667,0.667,0,0.5,0.75,0.333,1,0.333,0.667,0.5,0.333,0.667,0.667,0.333,0.25,1,0.667
"3","6",0.5,0,0.25,0.5,0.333,1,0.5,0.5,0.667,0.667,0,0,0.25,0.5,0.667,1,0.5,0.25,0.5,1,0.333,0.333,0.5,0.667,1,0.667,0.333,0.667,0.667,0.75,0.333,0.667,0.667,0.167,0.75,0.5,0.667,0.5,0.667,0,0.667,0.167,0.75,0.5,0,0.667,0,0.75,1,1,0.333,0.667,1,0.5,0,0.333,0.667,0.75,0,1,0.167,0.667,0.333,1,0.5,0.667,0,1,0.75,1,0.167,0,0.667,0,0.25,0.167,0.833,0.333,0.75,0.5
"4","7",0.5,0,0.75,0,1,0.667,0,0.75,0.5,1,0.667,0,0.75,1,1,0,1,0.75,0.5,0,0.5,0.333,0.25,0.5,0,0.75,0.333,0.75,0.25,0.167,0.5,1,0.75,0,0.167,0.25,0.667,0.5,0.5,1,1,0,0.75,1,0.833,1,0.5,0.5,0.5,0.333,0.667,0,0.5,1,1,0.333,0.5,0.75,0.5,0.833,0.5,0.5,0.5,0.667,0.167,0.5,0.667,0.75,0,1,0.25,0.667,0.25,0.667,0.667,0.5,0.833,0.25,0.667,0.833
"5","9",0,0.667,0.667,1,1,1,0.333,0.333,0.5,0.5,0.5,0,0.333,0,0,0.5,0,0.5,0.25,0.5,0.75,0.75,0.5,1,1,0.5,0.75,0.5,0.333,1,0.5,0,1,0.333,0.5,0.75,0.25,0.333,0.667,1,0.5,0.5,0,1,1,0,0.25,1,0.75,0.667,0,0.25,0.5,0.75,0.5,0.25,0,0,0.25,0.833,0.833,0.667,1,0.667,0.167,0.333,0.667,0.5,0.667,0.667,0.167,0.667,0.5,1,0.833,0.333,0.667,0.25,0.167,0.667
"6","10",0.75,0,0,0.75,0,0.5,0.5,0.25,0.5,0.5,0.25,0.5,1,1,0,0.75,1,0.25,0.75,0.5,0.25,0.667,0.333,0.667,1,0,0.333,0.333,0,0.75,0.25,0.667,0.167,0.5,0.75,0.25,0.667,0.167,0.5,1,0,0.75,0.333,0.667,0.5,0,0,0.667,0.5,0.5,0,1,0.333,0.333,1,0.5,0.75,0.333,0,0.5,0.75,0.833,0.75,0,0.667,0.5,0.667,0.75,0.333,1,0,0.833,0.75,0.5,0.333,0.25,0.833,0.25,0.667,0.667
"7","11",0.5,0.75,0.5,0.833,1,0.25,0.75,1,0.833,0.333,0.75,1,0.25,1,0.667,1,0,0.25,0.833,1,0.5,1,0.75,0.833,0.667,0,0,0.5,0.833,0.667,0.25,0.167,0.25,1,0.667,0.75,1,0.5,1,0.667,0.25,0.333,1,1,0.5,0.5,0.667,0.5,0.75,1,0.5,0.833,1,0.5,0.75,0.25,0.5,0.5,0.25,0.75,0.5,0.833,1,1,0.75,0.167,0.167,0.667,0.167,0.75,0.5,0.833,0.667,0.333,0.75,0.5,0.833,0.667,0.667,0.75
"8","12",0.333,1,1,1,0.333,0.333,0,0.5,0,1,0.333,1,0,0,0.667,0.333,0.5,0.5,1,0.167,0.5,0.75,0.5,1,1,0.833,0.75,0,0.75,0.5,0.167,0.5,1,0.5,0,0.167,0.5,0,0.25,0.25,0,0.833,NA,1,1,0.333,0.833,NA,0.5,1,0.5,0.667,NA,0.5,0.5,0.167,0,NA,0.5,0.5,1,0.667,1,0.5,0.5,0.5,0.333,0,0.167,0.667,0.25,0.833,1,0.833,0.833,0.5,0.167,0.5,0.333,0.167
"9","14",0.5,0,1,0.5,0.25,0,0.5,1,0.667,0.25,0.5,0.5,0,0.833,0.75,0,0.5,1,0.833,0.5,1,1,0.333,0.75,0.75,0,0.5,0.5,0.5,0.75,0.5,0.667,0.333,0.5,0.5,0,0.833,1,0.5,0,0.5,0.5,0,0.667,0.667,0,0,1,1,0.167,0.5,0.5,1,1,0.667,1,1,1,1,0.667,0.333,1,0.75,0.667,0.5,0.667,0.5,0.75,0.5,0.167,0.333,0.75,0.75,0.5,0.167,0.333,0.5,0.25,0,0.833
"10","15",0,0.667,0.25,0.75,0.5,0,1,0,0.75,0.5,0,0.667,0.5,0.25,1,0,0.333,0.75,0.75,1,1,0.5,0.75,1,1,0.25,0.833,0.5,0.333,0.25,0.25,0.333,0.25,0.333,0.5,1,0.667,0.5,0.667,0.25,0.667,0.75,0.5,0.5,0,0.167,0.25,0.75,0.5,0,0.333,0.5,0.75,0,1,0.667,0.5,0.5,1,1,0.333,0.5,1,0.5,0.667,0.667,0.75,0.25,0,0.667,0,0.75,0.25,0.333,0,0.333,0.75,0.5,0.333,1
