word,mean,sd
abogado,8.929,1.639
abrigo,9.286,0.994
academia,8.857,2.033
acompanante,8.214,2.082
actor,8.786,1.528
aerobic,8,2.449
aeropuerto,8.5,1.951
aficion,8.786,1.477
agua,9.786,0.579
ahogado,6.071,3.792
aire,9.214,1.528
alcalde,8.286,2.091
alcoba,8.571,2.409
alimento,9.5,0.855
almacen,8.786,1.626
almohada,9.571,0.646
almuerzo,9.286,1.437
alpinista,8.429,2.209
altillo,6.643,2.763
altura,8.429,2.311
amanecer,9.214,0.975
ambiente,8.714,2.016
amputacion,5.857,3.009
andamio,7.643,3.225
anillo,9,1.797
animal,8.643,2.098
aniversario,7.857,2.07
anochecer,8.571,1.505
anochoa,9.571,0.646
anuncio,7.786,2.326
apartamento,9.214,1.528
aprendiz,8.571,1.555
arbol,8.929,1.269
ardilla,6.357,3.054
armario,8.286,2.199
arroyo,8.5,1.698
arroz,9,1.414
articulacion,8.857,1.099
articulo,9.357,0.929
asador,7.357,2.649
asamblea,8.929,1.592
asesino,2.786,3.262
asfixia,8.857,1.834
asociacion,9.143,1.292
atleta,8.714,2.016
atmosfera,8.5,2.21
atun,9.429,0.852
aula,8.929,1.73
autobus,9.571,1.089
autor,9.071,1.94
avenida,8.5,1.912
avion,8.357,2.061
bacalao,9.643,0.497
bajada,4.857,2.958
bajada_w2,7.929,2.841
bajo,8.286,2.335
balcon,8.929,1.685
bano,7.643,1.946
banquero,9,1.519
barco,8.571,1.505
baul,7.714,3.221
bebe,9.643,0.633
biberon,8.429,1.342
bicicleta,9.357,1.082
biografia,7.857,2.143
boca,9,1.301
bocata,8.643,1.946
boda,9.643,0.633
bosque,7.857,2.656
bote,8,2.602
branquias,8.286,1.816
brasero,8.929,1.979
brazo,9.286,1.858
brinco,5.143,2.905
brisa,5.786,2.694
bucal,9.643,0.633
buffet,7.5,2.653
cabana,7.5,2.981
cabeza,8.786,2.119
cadera,8.786,1.528
cafetera,5.714,3.197
caja,8.5,2.71
cajon,8.429,2.138
calefaccion,9.357,1.393
calentador,9.357,1.393
calle,8.214,1.968
cama,8.5,2.378
caminata,8.714,1.541
camino,8.214,2.225
camion,9.071,1.817
campanario,8.429,2.102
campo,8.786,2.082
canal,8.643,1.336
canario,9.071,1.141
cancer,1.929,2.303
cancion,9,1.617
cantante,8.857,1.916
capilla,9.286,1.139
capitulo,9.214,1.311
carbon,8.214,2.082
carpintero,8.286,1.541
carrera,8.571,1.785
casa,9.786,0.579
casillero,7.071,3.518
catedral,8.714,2.091
cauce,8.643,1.393
cebada,9.143,1.231
ceguera,5.714,3.832
cena,9.5,0.76
cepillo,8.643,1.393
cerebro,9.286,1.069
cereles,9.429,1.089
ceremonia,8.429,2.738
chalet,7.786,2.424
chicle,6.786,2.19
chico,7.643,3.522
chimenea,9.357,1.008
chispa,6.786,2.887
chofer,8.357,1.336
ciclista,8.714,1.773
cima,6.929,3.149
cincel,8.929,1.492
cine,6.357,3.455
clavo,8.929,1.542
clero,8.5,2.103
coche,9.571,1.089
cocina,8.929,1.207
cocinero,7.857,2.248
codo,8.714,2.463
cojin,8.357,2.205
colchon,8.357,2.405
colega,7.786,2.082
colegio,8.357,2.872
coliseo,3.786,3.401
columna,9.214,1.051
comida,9.786,0.426
companero,8.643,1.865
compromiso,9.571,0.646
comunicaci—n,9.643,0.633
comunidad,9.286,1.437
comunion,8.643,2.468
concentracion,8.857,1.46
concepcion,8.571,1.604
concierto,6.357,3.388
concurrencia,8,2.801
conductor,8.714,1.267
congregacion,9.214,1.188
congreso,8.643,1.598
conjeo,8.857,1.351
conocimiento,9.286,0.994
consenso,8.214,1.528
consigna,6.929,3.269
contable,8.929,1.492
contacto,9.071,1.73
contenedor,8,2.418
continuacion,6.643,3.433
contrato,8,1.617
convento,8.643,2.373
coral,7.429,3.345
coro,7.857,2.179
corredor,8.643,1.946
correo,8.071,2.556
cortina,8,2.038
cosecha,9.214,0.975
costa,8.429,1.604
craneo,7.571,2.928
creatividad,8.857,1.748
crecimiento,7.5,2.345
criatura,7.357,2.499
crimen,6.929,2.973
crio,8.929,2.645
cuento,9,1.617
cuerpo,8.071,1.94
cultivo,9.5,0.76
cultura,9.071,1.328
cumplimiento,8.857,1.46
cuna,8.357,1.499
cuna_v2,8.214,2.833
dama,5.929,4.323
decibel,8.143,1.956
decision,7.286,2.73
declaracion,8.071,1.639
dedo,7.929,2.556
defensa,8.929,1.269
dentista,8.857,1.231
deporte,9.357,1.082
deposito,7.929,2.786
desayuno,9.214,1.424
descnaso,9.357,1.082
despensa,8.357,1.55
destello,9.071,1.072
destinatario,9.286,0.994
dia,9.429,0.756
dialogo,7.286,2.73
diente,9.714,0.611
dios,9.143,2.381
diploma,8,2.418
dirigente,9.214,0.975
domicilio,9.714,0.469
dormitar,8.929,1.207
dormitorio,9.143,1.027
eclipse,7.214,3.49
eco,7.429,2.441
edificio,9.143,1.406
editor,7.857,2.627
editorial,9.071,1.072
educacion,9.429,1.089
ejercicio,9.214,1.122
embarazo,9.5,0.855
emissor,9.357,0.842
emperador,9.214,1.122
empleo,9.214,1.122
encabezado,8.357,2.061
encuentro,7.357,3.079
energia,8.143,1.956
entonacion,8.786,1.888
entrega,6.357,2.951
entrenador,8.643,1.781
envase,8.714,1.939
escena,7.071,2.947
escritor,8.786,1.968
escuela,9,1.468
esmalte,8.857,1.099
esplendor,8.857,1.406
esposa,9.214,1.251
esquiador,9.143,1.292
estacion,8.214,2.082
estadio,6.357,3.104
estanque,8.714,1.437
estrella,7.857,2.797
estrofa,7.857,2.958
estudiante,9.643,0.745
estufa,9.429,1.016
evolucion,7.786,2.119
extranjero,8.214,2.259
extremidad,9.5,0.855
familia,8.286,2.335
fe,9.286,0.825
